model,variant,condition,correct
gemma2-9b,noctx,FAM-NAMED,0.18125
gemma2-9b,noctx,FAM-UNNAMED,0.10625
gemma2-9b,noctx,INV-BASE,0.28125
gemma2-9b,noctx,INV-BASE-TWIN,0.03125
gemma2-9b,noctx,INV-LEX,0.42083333333333334
gemma2-9b,noctx,INV-LEX-TWIN,0.1625
gemma2-9b,nounits,FAM-NAMED,0.71875
gemma2-9b,nounits,FAM-UNNAMED,0.49583333333333335
gemma2-9b,nounits,INV-BASE,0.8145833333333333
gemma2-9b,nounits,INV-BASE-TWIN,0.6166666666666667
gemma2-9b,nounits,INV-LEX,0.6208333333333333
gemma2-9b,nounits,INV-LEX-TWIN,0.6479166666666667
olmo3-32b,noctx,FAM-NAMED,0.2125
olmo3-32b,noctx,FAM-UNNAMED,0.06666666666666667
olmo3-32b,noctx,INV-BASE,0.32083333333333336
olmo3-32b,noctx,INV-BASE-TWIN,0.0125
olmo3-32b,noctx,INV-LEX,0.39166666666666666
olmo3-32b,noctx,INV-LEX-TWIN,0.15
olmo3-32b,nounits,FAM-NAMED,0.5625
olmo3-32b,nounits,FAM-UNNAMED,0.44583333333333336
olmo3-32b,nounits,INV-BASE,0.8041666666666667
olmo3-32b,nounits,INV-BASE-TWIN,0.425
olmo3-32b,nounits,INV-LEX,0.7833333333333333
olmo3-32b,nounits,INV-LEX-TWIN,0.5916666666666667
olmo3-7b,noctx,FAM-NAMED,0.19375
olmo3-7b,noctx,FAM-UNNAMED,0.075
olmo3-7b,noctx,INV-BASE,0.22083333333333333
olmo3-7b,noctx,INV-BASE-TWIN,0.05416666666666667
olmo3-7b,noctx,INV-LEX,0.425
olmo3-7b,noctx,INV-LEX-TWIN,0.15208333333333332
olmo3-7b,nounits,FAM-NAMED,0.575
olmo3-7b,nounits,FAM-UNNAMED,0.4708333333333333
olmo3-7b,nounits,INV-BASE,0.7541666666666667
olmo3-7b,nounits,INV-BASE-TWIN,0.48125
olmo3-7b,nounits,INV-LEX,0.625
olmo3-7b,nounits,INV-LEX-TWIN,0.5333333333333333
qwen3-4b-base,noctx,FAM-NAMED,0.15833333333333333
qwen3-4b-base,noctx,FAM-UNNAMED,0.075
qwen3-4b-base,noctx,INV-BASE,0.3125
qwen3-4b-base,noctx,INV-BASE-TWIN,0.029166666666666667
qwen3-4b-base,noctx,INV-LEX,0.44166666666666665
qwen3-4b-base,noctx,INV-LEX-TWIN,0.1375
qwen3-4b-base,nounits,FAM-NAMED,0.5916666666666667
qwen3-4b-base,nounits,FAM-UNNAMED,0.4166666666666667
qwen3-4b-base,nounits,INV-BASE,0.7583333333333333
qwen3-4b-base,nounits,INV-BASE-TWIN,0.4125
qwen3-4b-base,nounits,INV-LEX,0.7
qwen3-4b-base,nounits,INV-LEX-TWIN,0.49583333333333335
qwen3-8b-base,noctx,FAM-NAMED,0.18541666666666667
qwen3-8b-base,noctx,FAM-UNNAMED,0.15625
qwen3-8b-base,noctx,INV-BASE,0.36041666666666666
qwen3-8b-base,noctx,INV-BASE-TWIN,0.06666666666666667
qwen3-8b-base,noctx,INV-LEX,0.3645833333333333
qwen3-8b-base,noctx,INV-LEX-TWIN,0.18958333333333333
qwen3-8b-base,nounits,FAM-NAMED,0.5375
