model,layer,pos,var,mode,rank,seed,all,disagree,heldout,invented
qwen3-4b-base,16,u1,alg,full,2560,0,0.5041666666666667,0.4931980374665477,0.504568338616446,0.50375
qwen3-4b-base,16,last,alg,full,2560,0,0.49895833333333334,0.4838314005352364,0.5231835415501274,0.5025000000000001
qwen3-4b-base,12,u1,alg,full,2560,0,0.5666666666666667,0.4490410347903658,0.5848094971719808,0.5081249999999999
qwen3-4b-base,24,last,heur,learned,64,0,0.631299817987824,0.7814451382694023,0.6356749311294766,0.51
qwen3-4b-base,8,u1,heur,learned,64,3,0.5742170338291596,0.4962087421944692,0.5540545313272586,0.503125
qwen3-4b-base,12,last,heur,full,2560,0,0.5179030942069918,0.5136039250669046,0.5301970756516211,0.50625
qwen3-4b-base,4,u1,alg,learned,16,0,0.5270833333333333,0.4490410347903658,0.5275498787991796,0.49312500000000004
qwen3-4b-base,4,u1,alg,probe,3,0,0.49895833333333334,0.47580285459411237,0.4989899931630306,0.498125
qwen3-4b-base,8,u2,heur,full,2560,0,0.6565932341680788,0.6902319357716324,0.6808999081726355,0.505
qwen3-4b-base,8,u1,alg,random,4,0,0.49687499999999996,0.47580285459411237,0.5020821679408292,0.5
qwen3-4b-base,8,u1,alg,random,64,2,0.5,0.5042372881355932,0.5047703399838399,0.49874999999999997
qwen3-4b-base,8,u1,alg,probe,3,0,0.5,0.5021186440677966,0.5074585120268507,0.503125
qwen3-4b-base,4,u2,heur,full,2560,0,0.6590880562354862,0.7186663693131132,0.6722116267570813,0.499375
qwen3-4b-base,16,last,heur,learned,16,0,0.5139333458858972,0.5072479928635147,0.5393091756728121,0.500625
qwen3-4b-base,8,last,heur,full,2560,0,0.5110933283123078,0.5199598572702944,0.5089708271526453,0.50125
qwen3-4b-base,4,last,heur,learned,64,0,0.5128663779576978,0.5199598572702944,0.5132443314261496,0.503125
qwen3-4b-base,4,u1,alg,learned,1,0,0.5010416666666666,0.4910793933987511,0.5074585120268507,0.501875
qwen3-4b-base,4,last,alg,random,64,0,0.4979166666666666,0.4889607493309545,0.5049723413512338,0.5
qwen3-4b-base,12,last,alg,full,2560,0,0.5072916666666667,0.48639607493309545,0.5237895456523091,0.50625
qwen3-4b-base,4,last,alg,learned,16,0,0.49895833333333334,0.4910793933987511,0.5047703399838399,0.50125
qwen3-4b-base,16,last,heur,full,2560,0,0.502996924621854,0.5161685994647636,0.5114607614607615,0.5025000000000001
qwen3-4b-base,4,u2,alg,full,2560,0,0.546875,0.2813336306868867,0.5796973087202437,0.499375
qwen3-4b-base,8,u1,alg,learned,64,3,0.5979166666666667,0.4791480820695807,0.6112872148673006,0.5018750000000001
qwen3-4b-base,8,u2,alg,full,2560,0,0.5447916666666667,0.3097680642283675,0.5987165143887128,0.505
qwen3-4b-base,8,last,alg,learned,64,0,0.49583333333333335,0.4690008920606601,0.5014761638386476,0.501875
qwen3-4b-base,8,u1,alg,random,16,0,0.503125,0.5084745762711864,0.5020821679408292,0.4975
qwen3-4b-base,28,u1,alg,full,2560,0,0.5041666666666667,0.5063559322033898,0.5128348561128722,0.498125
qwen3-4b-base,4,u1,heur,learned,16,0,0.5799755225004707,0.5378010704727921,0.5796955569682842,0.495625
qwen3-4b-base,8,u1,heur,learned,1,0,0.5184836502855709,0.522078501338091,0.5260648442466624,0.504375
qwen3-4b-base,8,last,alg,random,16,0,0.5,0.47580285459411237,0.5074585120268507,0.4975
qwen3-4b-base,24,u1,alg,full,2560,0,0.5010416666666666,0.5042372881355932,0.5101466840698614,0.5
qwen3-4b-base,20,u1,alg,full,2560,0,0.49374999999999997,0.4931980374665477,0.49939399589781835,0.505
qwen3-4b-base,8,last,heur,learned,16,0,0.5164124772484779,0.522078501338091,0.515310447128629,0.5
qwen3-4b-base,4,u1,alg,learned,4,0,0.5083333333333333,0.4711195361284567,0.5122288520106906,0.5
qwen3-4b-base,8,u1,heur,probe,16,0,0.5669522374945082,0.4936440677966102,0.5581867627322172,0.500625
qwen3-4b-base,24,u1,alg,learned,64,0,0.5,0.4910793933987511,0.5018801665734353,0.504375
qwen3-4b-base,16,u1,alg,random,64,0,0.5010416666666667,0.5021186440677966,0.49939399589781835,0.5
qwen3-4b-base,8,u1,heur,learned,16,0,0.6037626310173854,0.5577609277430865,0.5861764498128135,0.496875
qwen3-4b-base,4,u1,heur,probe,16,0,0.5514341304211385,0.5199598572702944,0.5558381012926468,0.4975
qwen3-4b-base,4,u1,alg,random,16,0,0.49687499999999996,0.4910793933987511,0.4907234756666045,0.500625
qwen3-4b-base,16,u1,heur,learned,64,0,0.5400740601267808,0.5641168599464763,0.5155929928657201,0.5
qwen3-4b-base,8,u1,alg,learned,64,2,0.5916666666666667,0.4023193577163247,0.604698862576916,0.498125
qwen3-4b-base,16,u2,heur,full,2560,0,0.6289462122638549,0.722457627118644,0.6574662711026347,0.49187499999999995
qwen3-4b-base,12,u2,heur,full,2560,0,0.6524508880938932,0.7203389830508475,0.655541428268701,0.511875
qwen3-4b-base,8,u1,heur,learned,4,0,0.5248383857402874,0.522078501338091,0.5344705799251254,0.503125
qwen3-4b-base,16,last,alg,random,64,0,0.49583333333333335,0.4800401427297056,0.49878799179563676,0.5025
qwen3-4b-base,24,u1,alg,random,64,0,0.49479166666666663,0.5021186440677966,0.5020821679408292,0.5018750000000001
qwen3-4b-base,8,u1,heur,learned,64,2,0.6352224941944392,0.5225245316681534,0.6457229639047821,0.50125
qwen3-4b-base,16,u1,alg,learned,64,0,0.5052083333333334,0.4711195361284567,0.5066505065572752,0.4975
qwen3-4b-base,24,u2,heur,full,2560,0,0.501192493566811,0.4936440677966102,0.49835770290315745,0.501875
