model,condition,lattice_distance,mean,count
gemma2-9b,FAM-NAMED,2,0.75,88
gemma2-9b,FAM-NAMED,3,0.9692307692307692,130
gemma2-9b,FAM-NAMED,4,0.9655172413793104,174
gemma2-9b,FAM-NAMED,5,1.0,44
gemma2-9b,FAM-NAMED,6,1.0,44
gemma2-9b,FAM-UNNAMED,2,0.8823529411764706,68
gemma2-9b,FAM-UNNAMED,3,0.8394160583941606,274
gemma2-9b,FAM-UNNAMED,4,0.8382352941176471,68
gemma2-9b,FAM-UNNAMED,8,0.9571428571428572,70
gemma2-9b,INV-BASE,2,0.8722222222222222,360
gemma2-9b,INV-BASE,3,0.9666666666666667,120
gemma2-9b,INV-BASE-TWIN,2,0.9111111111111111,360
gemma2-9b,INV-BASE-TWIN,3,0.7666666666666667,120
gemma2-9b,INV-LEX,2,0.6097560975609756,82
gemma2-9b,INV-LEX,3,0.9301075268817204,186
gemma2-9b,INV-LEX,4,0.8208955223880597,134
gemma2-9b,INV-LEX,5,0.9615384615384616,26
gemma2-9b,INV-LEX,6,1.0,26
gemma2-9b,INV-LEX,8,0.8846153846153846,26
gemma2-9b,INV-LEX-TWIN,2,0.7317073170731707,82
gemma2-9b,INV-LEX-TWIN,3,0.8333333333333334,186
gemma2-9b,INV-LEX-TWIN,4,0.9402985074626866,134
gemma2-9b,INV-LEX-TWIN,5,1.0,26
gemma2-9b,INV-LEX-TWIN,6,0.9615384615384616,26
gemma2-9b,INV-LEX-TWIN,8,1.0,26
olmo3-32b,FAM-NAMED,2,0.6931818181818182,88
olmo3-32b,FAM-NAMED,3,0.9923076923076923,130
olmo3-32b,FAM-NAMED,4,0.9885057471264368,174
olmo3-32b,FAM-NAMED,5,0.9772727272727273,44
olmo3-32b,FAM-NAMED,6,1.0,44
olmo3-32b,FAM-UNNAMED,2,0.8529411764705882,68
olmo3-32b,FAM-UNNAMED,3,0.9087591240875912,274
olmo3-32b,FAM-UNNAMED,4,0.8235294117647058,68
olmo3-32b,FAM-UNNAMED,8,1.0,70
olmo3-32b,INV-BASE,2,0.8972222222222223,360
olmo3-32b,INV-BASE,3,0.95,120
olmo3-32b,INV-BASE-TWIN,2,0.9333333333333333,360
olmo3-32b,INV-BASE-TWIN,3,0.875,120
olmo3-32b,INV-LEX,2,0.7926829268292683,82
olmo3-32b,INV-LEX,3,1.0,186
olmo3-32b,INV-LEX,4,0.8731343283582089,134
olmo3-32b,INV-LEX,5,1.0,26
olmo3-32b,INV-LEX,6,1.0,26
olmo3-32b,INV-LEX,8,1.0,26
olmo3-32b,INV-LEX-TWIN,2,0.7317073170731707,82
olmo3-32b,INV-LEX-TWIN,3,0.9032258064516129,186
olmo3-32b,INV-LEX-TWIN,4,0.9552238805970149,134
olmo3-32b,INV-LEX-TWIN,5,0.9615384615384616,26
olmo3-32b,INV-LEX-TWIN,6,1.0,26
olmo3-32b,INV-LEX-TWIN,8,0.9615384615384616,26
olmo3-7b,FAM-NAMED,2,0.8352272727272727,176
olmo3-7b,FAM-NAMED,3,0.9615384615384616,260
olmo3-7b,FAM-NAMED,4,0.9741379310344828,348
olmo3-7b,FAM-NAMED,5,0.9545454545454546,88
olmo3-7b,FAM-NAMED,6,1.0,88
olmo3-7b,FAM-UNNAMED,2,0.8014705882352942,136
olmo3-7b,FAM-UNNAMED,3,0.8613138686131386,548
olmo3-7b,FAM-UNNAMED,4,0.8161764705882353,136
olmo3-7b,FAM-UNNAMED,8,0.9642857142857143,140
olmo3-7b,INV-BASE,2,0.8722222222222222,720
olmo3-7b,INV-BASE,3,0.9041666666666667,240
olmo3-7b,INV-BASE-TWIN,2,0.9013888888888889,720
olmo3-7b,INV-BASE-TWIN,3,0.8583333333333333,240
olmo3-7b,INV-LEX,2,0.8170731707317073,164
olmo3-7b,INV-LEX,3,0.9301075268817204,372
olmo3-7b,INV-LEX,4,0.8656716417910447,268
olmo3-7b,INV-LEX,5,0.9038461538461539,52
olmo3-7b,INV-LEX,6,1.0,52
olmo3-7b,INV-LEX,8,0.9807692307692307,52
olmo3-7b,INV-LEX-TWIN,2,0.7987804878048781,164
olmo3-7b,INV-LEX-TWIN,3,0.8870967741935484,372
olmo3-7b,INV-LEX-TWIN,4,0.9216417910447762,268
olmo3-7b,INV-LEX-TWIN,5,0.9615384615384616,52
olmo3-7b,INV-LEX-TWIN,6,1.0,52
olmo3-7b,INV-LEX-TWIN,8,0.9038461538461539,52
qwen3-14b-base,FAM-NAMED,2,0.7159090909090909,88
qwen3-14b-base,FAM-NAMED,3,0.9846153846153847,130
qwen3-14b-base,FAM-NAMED,4,0.9827586206896551,174
qwen3-14b-base,FAM-NAMED,5,1.0,44
qwen3-14b-base,FAM-NAMED,6,1.0,44
qwen3-14b-base,FAM-UNNAMED,2,0.8382352941176471,68
qwen3-14b-base,FAM-UNNAMED,3,0.8686131386861314,274
qwen3-14b-base,FAM-UNNAMED,4,0.8235294117647058,68
qwen3-14b-base,FAM-UNNAMED,8,0.9857142857142858,70
qwen3-14b-base,INV-BASE,2,0.8916666666666667,360
qwen3-14b-base,INV-BASE,3,0.9583333333333334,120
qwen3-14b-base,INV-BASE-TWIN,2,0.9555555555555556,360
qwen3-14b-base,INV-BASE-TWIN,3,0.8916666666666667,120
qwen3-14b-base,INV-LEX,2,0.8170731707317073,82
qwen3-14b-base,INV-LEX,3,0.978494623655914,186
qwen3-14b-base,INV-LEX,4,0.9104477611940298,134
qwen3-14b-base,INV-LEX,5,0.9615384615384616,26
qwen3-14b-base,INV-LEX,6,1.0,26
qwen3-14b-base,INV-LEX,8,1.0,26
qwen3-14b-base,INV-LEX-TWIN,2,0.7804878048780488,82
qwen3-14b-base,INV-LEX-TWIN,3,0.8709677419354839,186
qwen3-14b-base,INV-LEX-TWIN,4,0.9402985074626866,134
qwen3-14b-base,INV-LEX-TWIN,5,1.0,26
qwen3-14b-base,INV-LEX-TWIN,6,1.0,26
qwen3-14b-base,INV-LEX-TWIN,8,0.9615384615384616,26
qwen3-4b,FAM-NAMED,2,0.8295454545454546,88
qwen3-4b,FAM-NAMED,3,0.7692307692307693,130
qwen3-4b,FAM-NAMED,4,0.8908045977011494,174
qwen3-4b,FAM-NAMED,5,0.8636363636363636,44
qwen3-4b,FAM-NAMED,6,0.9545454545454546,44
qwen3-4b,FAM-UNNAMED,2,0.6029411764705882,68
qwen3-4b,FAM-UNNAMED,3,0.635036496350365,274
qwen3-4b,FAM-UNNAMED,4,0.20588235294117646,68
qwen3-4b,FAM-UNNAMED,8,0.9857142857142858,70
qwen3-4b,INV-BASE,2,0.8694444444444445,360
qwen3-4b,INV-BASE,3,0.8916666666666667,120
qwen3-4b,INV-BASE-TWIN,2,0.8,360
qwen3-4b,INV-BASE-TWIN,3,0.7166666666666667,120
qwen3-4b,INV-LEX,2,0.6829268292682927,82
qwen3-4b,INV-LEX,3,0.8763440860215054,186
qwen3-4b,INV-LEX,4,0.753731343283582,134
qwen3-4b,INV-LEX,5,1.0,26
qwen3-4b,INV-LEX,6,0.8846153846153846,26
qwen3-4b,INV-LEX,8,0.8846153846153846,26
qwen3-4b,INV-LEX-TWIN,2,0.6829268292682927,82
qwen3-4b,INV-LEX-TWIN,3,0.6290322580645161,186
qwen3-4b,INV-LEX-TWIN,4,0.7835820895522388,134
qwen3-4b,INV-LEX-TWIN,5,0.7307692307692307,26
qwen3-4b,INV-LEX-TWIN,6,0.9615384615384616,26
qwen3-4b,INV-LEX-TWIN,8,0.9230769230769231,26
qwen3-4b-base,FAM-NAMED,2,0.8409090909090909,176
qwen3-4b-base,FAM-NAMED,3,0.9384615384615385,260
qwen3-4b-base,FAM-NAMED,4,0.9885057471264368,348
qwen3-4b-base,FAM-NAMED,5,1.0,88
qwen3-4b-base,FAM-NAMED,6,1.0,88
qwen3-4b-base,FAM-UNNAMED,2,0.875,136
qwen3-4b-base,FAM-UNNAMED,3,0.8175182481751825,548
qwen3-4b-base,FAM-UNNAMED,4,0.8529411764705882,136
qwen3-4b-base,FAM-UNNAMED,8,0.9857142857142858,140
qwen3-4b-base,INV-BASE,2,0.9416666666666667,720
qwen3-4b-base,INV-BASE,3,0.9416666666666667,240
qwen3-4b-base,INV-BASE-TWIN,2,0.925,720
qwen3-4b-base,INV-BASE-TWIN,3,0.7083333333333334,240
qwen3-4b-base,INV-LEX,2,0.8841463414634146,164
qwen3-4b-base,INV-LEX,3,0.9623655913978495,372
qwen3-4b-base,INV-LEX,4,0.914179104477612,268
