model,condition,style,mean,count
gemma2-9b,FAM-NAMED,ascii,0.9508196721311475,61
gemma2-9b,FAM-NAMED,long,0.9302325581395349,43
gemma2-9b,FAM-NAMED,per,0.9117647058823529,34
gemma2-9b,FAM-NAMED,slash,0.9285714285714286,56
gemma2-9b,FAM-NAMED,symbol,0.8913043478260869,46
gemma2-9b,FAM-UNNAMED,ascii,0.98,50
gemma2-9b,FAM-UNNAMED,long,0.72,50
gemma2-9b,FAM-UNNAMED,per,0.9310344827586207,58
gemma2-9b,FAM-UNNAMED,slash,0.8611111111111112,36
gemma2-9b,FAM-UNNAMED,symbol,0.8260869565217391,46
gemma2-9b,INV-BASE,long,0.7738095238095238,84
gemma2-9b,INV-BASE,per,0.9436619718309859,71
gemma2-9b,INV-BASE,slash,0.9764705882352941,85
gemma2-9b,INV-BASE-TWIN,long,0.7962962962962963,54
gemma2-9b,INV-BASE-TWIN,per,0.8732394366197183,71
gemma2-9b,INV-BASE-TWIN,slash,0.96,50
gemma2-9b,INV-BASE-TWIN,symbol,0.8769230769230769,65
gemma2-9b,INV-LEX,long,0.8095238095238095,84
gemma2-9b,INV-LEX,per,0.8518518518518519,81
gemma2-9b,INV-LEX,slash,0.88,75
gemma2-9b,INV-LEX-TWIN,long,0.8253968253968254,63
gemma2-9b,INV-LEX-TWIN,per,0.8947368421052632,57
gemma2-9b,INV-LEX-TWIN,slash,1.0,61
gemma2-9b,INV-LEX-TWIN,symbol,0.8305084745762712,59
qwen3-4b-base,FAM-NAMED,ascii,0.8787878787878788,99
qwen3-4b-base,FAM-NAMED,long,1.0,89
qwen3-4b-base,FAM-NAMED,per,0.9285714285714286,84
qwen3-4b-base,FAM-NAMED,slash,0.9528301886792453,106
qwen3-4b-base,FAM-NAMED,symbol,0.8431372549019608,102
qwen3-4b-base,FAM-UNNAMED,ascii,0.9215686274509803,102
qwen3-4b-base,FAM-UNNAMED,long,0.6730769230769231,104
qwen3-4b-base,FAM-UNNAMED,per,0.8712871287128713,101
qwen3-4b-base,FAM-UNNAMED,slash,0.9285714285714286,84
qwen3-4b-base,FAM-UNNAMED,symbol,0.9325842696629213,89
qwen3-4b-base,INV-BASE,long,0.888235294117647,170
qwen3-4b-base,INV-BASE,per,0.9615384615384616,156
qwen3-4b-base,INV-BASE,slash,0.974025974025974,154
qwen3-4b-base,INV-BASE-TWIN,long,0.848,125
qwen3-4b-base,INV-BASE-TWIN,per,0.8449612403100775,129
qwen3-4b-base,INV-BASE-TWIN,slash,0.8596491228070176,114
qwen3-4b-base,INV-BASE-TWIN,symbol,0.9017857142857143,112
qwen3-4b-base,INV-LEX,long,0.9182389937106918,159
qwen3-4b-base,INV-LEX,per,0.9393939393939394,165
qwen3-4b-base,INV-LEX,slash,0.9102564102564102,156
qwen3-4b-base,INV-LEX-TWIN,long,0.8106060606060606,132
qwen3-4b-base,INV-LEX-TWIN,per,0.8389830508474576,118
qwen3-4b-base,INV-LEX-TWIN,slash,0.9051724137931034,116
qwen3-4b-base,INV-LEX-TWIN,symbol,0.9122807017543859,114
