model,task,version,condition,n,acc,ci_lo,ci_hi,chance,acc_length_matched,n_length_matched,acc_gen,acc_gen_dim,acc_inorder,acc_swapped,swap_penalty,swapped_ci_lo,swapped_ci_hi,auroc,acc_calibrated,yes_rate,pred_dist
gemma2-9b,T1,v1,FAM-NAMED,480,0.9333333333333333,0.8739963402462017,0.9804803790485451,0.25,0.9239130434782609,368.0,0.0375,0.7479166666666667,0.910958904109589,0.9680851063829787,-0.057126202273389715,0.9297297297297298,0.9948453608247423,,,,
gemma2-9b,T1,v1,FAM-UNNAMED,480,0.8625,0.7983057889822596,0.9128700015710338,0.25,0.8579234972677595,366.0,0.014583333333333334,0.5854166666666667,0.8628158844765343,0.8620689655172413,0.0007469189592930192,0.7756864016455752,0.9452139563271396,,,,
gemma2-9b,T1,v1,INV-BASE,480,0.8958333333333334,0.7927343250159948,0.9864354179761157,0.25,0.9093851132686084,309.0,0.08125,0.89375,0.900398406374502,0.8908296943231441,0.009568712051357897,0.7228915662650602,0.9956792207792208,,,,
gemma2-9b,T1,v1,INV-BASE-TWIN,480,0.875,0.7962109843937575,0.9597705517398625,0.25,0.8647058823529412,340.0,0.03958333333333333,0.85625,0.9043824701195219,0.8427947598253275,0.06158771029419441,0.7056451612903226,1.0,,,,
gemma2-9b,T1,v1,INV-LEX,480,0.8479166666666667,0.7741865357643759,0.9113461747151383,0.25,0.8469945355191257,366.0,0.13125,0.37083333333333335,0.8505338078291815,0.8442211055276382,0.006312702301543349,0.7546081099944165,0.927710843373494,,,,
gemma2-9b,T1,v1,INV-LEX-TWIN,480,0.8708333333333333,0.8051364928016376,0.9315781456953641,0.25,0.8687150837988827,358.0,0.052083333333333336,0.6354166666666666,0.8612099644128114,0.8844221105527639,-0.023212146139952483,0.8099439775910364,0.9512195121951219,,,,
gemma2-9b,T1,v2,FAM-NAMED,480,0.9833333333333333,0.9594312901995458,0.9980658573743679,0.25,0.9888888888888889,360.0,0.05625,0.7520833333333333,0.993006993006993,0.9690721649484536,0.023934828058539415,0.917581001472754,1.0,,,,
gemma2-9b,T1,v2,FAM-UNNAMED,480,0.8645833333333334,0.7770697190283178,0.9298632264529059,0.25,0.8753387533875339,369.0,0.008333333333333333,0.54375,0.8721804511278195,0.8551401869158879,0.01704026421193161,0.7661255022962112,0.9318236981465136,,,,
gemma2-9b,T1,v2,INV-BASE,480,0.9041666666666667,0.820178897407813,0.9785863095238094,0.25,0.9046052631578947,304.0,0.07916666666666666,0.8875,0.915057915057915,0.8914027149321267,0.023655200125788256,0.7548076923076923,0.9914163090128756,,,,
gemma2-9b,T1,v2,INV-BASE-TWIN,480,0.9020833333333333,0.8226129970530828,0.9726054100242997,0.25,0.924119241192412,369.0,0.30625,0.8541666666666666,0.9459459459459459,0.8506787330316742,0.09526721291427176,0.7226598234230401,0.995,,,,
