model,condition,correct,exp_perturbed,exp_swapped,inverted,sign_flip
gemma2-9b,FAM-NAMED,472,0,0,0,8
gemma2-9b,FAM-UNNAMED,415,0,29,7,29
gemma2-9b,INV-BASE,434,0,0,0,46
gemma2-9b,INV-BASE-TWIN,433,0,5,5,37
gemma2-9b,INV-LEX,428,4,19,20,9
gemma2-9b,INV-LEX-TWIN,441,0,10,6,23
olmo3-32b,FAM-NAMED,472,0,1,2,5
olmo3-32b,FAM-UNNAMED,435,0,22,0,23
olmo3-32b,INV-BASE,438,0,3,0,39
olmo3-32b,INV-BASE-TWIN,450,0,2,0,28
olmo3-32b,INV-LEX,457,0,6,9,8
olmo3-32b,INV-LEX-TWIN,452,0,9,2,17
olmo3-7b,FAM-NAMED,465,0,2,3,10
olmo3-7b,FAM-UNNAMED,413,0,26,1,40
olmo3-7b,INV-BASE,422,0,0,1,57
olmo3-7b,INV-BASE-TWIN,432,0,6,0,42
olmo3-7b,INV-LEX,437,3,17,13,10
olmo3-7b,INV-LEX-TWIN,443,0,11,3,23
qwen3-14b-base,FAM-NAMED,471,0,0,1,8
qwen3-14b-base,FAM-UNNAMED,423,0,17,17,23
qwen3-14b-base,INV-BASE,449,0,1,1,29
qwen3-14b-base,INV-BASE-TWIN,451,0,3,0,26
qwen3-14b-base,INV-LEX,463,0,8,9,0
qwen3-14b-base,INV-LEX-TWIN,447,0,8,5,20
qwen3-4b,FAM-NAMED,403,0,9,56,12
qwen3-4b,FAM-UNNAMED,305,0,43,81,51
qwen3-4b,INV-BASE,428,0,6,12,34
qwen3-4b,INV-BASE-TWIN,390,0,8,41,41
qwen3-4b,INV-LEX,405,5,24,34,12
qwen3-4b,INV-LEX-TWIN,369,0,34,44,33
qwen3-4b-base,FAM-NAMED,471,0,0,1,8
qwen3-4b-base,FAM-UNNAMED,408,0,36,6,30
qwen3-4b-base,INV-BASE,453,0,2,0,25
qwen3-4b-base,INV-BASE-TWIN,422,0,23,0,35
qwen3-4b-base,INV-LEX,455,3,11,6,5
qwen3-4b-base,INV-LEX-TWIN,441,0,16,4,19
qwen3-8b,FAM-NAMED,330,0,19,98,33
qwen3-8b,FAM-UNNAMED,178,0,66,174,62
qwen3-8b,INV-BASE,379,0,8,35,58
qwen3-8b,INV-BASE-TWIN,252,0,44,112,72
qwen3-8b,INV-LEX,307,5,29,111,28
qwen3-8b,INV-LEX-TWIN,286,0,39,99,56
qwen3-8b-base,FAM-NAMED,477,0,0,2,1
qwen3-8b-base,FAM-UNNAMED,402,0,34,8,36
qwen3-8b-base,INV-BASE,437,0,3,0,40
qwen3-8b-base,INV-BASE-TWIN,449,0,2,0,29
qwen3-8b-base,INV-LEX,459,0,8,5,8
qwen3-8b-base,INV-LEX-TWIN,438,0,17,5,20
