model,condition,rho_distance,p_distance,rho_logfreq,p_logfreq
gemma2-9b,FAM-NAMED,0.2676332621847209,2.5647590181525665e-09,-0.23096920940957064,3.1137325790155156e-07
gemma2-9b,FAM-UNNAMED,0.05240099366506138,0.2518604081326867,0.015116643025637855,0.7411397290658511
gemma2-9b,INV-BASE,0.1338748692628868,0.0032965269960881635,-0.08440339378220915,0.06465119162755939
gemma2-9b,INV-BASE-TWIN,-0.18912217153786004,3.0413270092348082e-05,0.10489605851680692,0.021532792066618626
gemma2-9b,INV-LEX,0.1784912519022724,8.425246520401167e-05,,
gemma2-9b,INV-LEX-TWIN,0.25463062407925496,1.534582637696311e-08,-0.11554374643623946,0.011298572258358144
olmo3-32b,FAM-NAMED,0.32281836831518546,4.194402889773891e-13,-0.3228659834433012,4.159546592562845e-13
olmo3-32b,FAM-UNNAMED,0.07345942017276909,0.10796855070079148,-0.05058965241529258,0.26864760396180976
olmo3-32b,INV-BASE,0.08002358937686854,0.07986540338521772,-0.0960278863551311,0.035444548320543494
olmo3-32b,INV-BASE-TWIN,-0.09245003270420485,0.042915110084066475,0.04272829924374924,0.350244046315719
olmo3-32b,INV-LEX,0.10834533871437356,0.01757120569165324,,
olmo3-32b,INV-LEX-TWIN,0.23980508199959974,1.049377280778454e-07,-0.13796963100159776,0.0024505471547838355
olmo3-7b,FAM-NAMED,0.18211234393376297,1.3252384484281952e-08,-0.1370882435482265,2.024900335607633e-05
olmo3-7b,FAM-UNNAMED,0.09207844562775026,0.004299660408333807,-0.059690265066384744,0.06450487293369288
olmo3-7b,INV-BASE,0.04259807109188756,0.18725873115354655,-0.04511481623544117,0.16249734871701996
olmo3-7b,INV-BASE-TWIN,-0.05973424234499493,0.06430797908812165,0.05526157744196034,0.08702678856283647
olmo3-7b,INV-LEX,0.08147439182775885,0.011559888281883235,,
olmo3-7b,INV-LEX-TWIN,0.1477491187854213,4.28356264047543e-06,-0.06228070873171735,0.05372391305707723
qwen3-14b-base,FAM-NAMED,0.3151302853706316,1.5830619301357136e-12,-0.3123643471778796,2.529289205989607e-12
qwen3-14b-base,FAM-UNNAMED,0.08557074964940453,0.06102554087079671,-0.03798327191291615,0.40636820952751884
qwen3-14b-base,INV-BASE,0.10004169272643103,0.02840915400252212,-0.09422689074424069,0.03905390085580085
qwen3-14b-base,INV-BASE-TWIN,-0.1161127574355172,0.010900050689621488,0.06682719303243854,0.14376102592863363
qwen3-14b-base,INV-LEX,0.12164049301114403,0.007630993836388415,,
qwen3-14b-base,INV-LEX-TWIN,0.2119786650407296,2.7932840780369138e-06,-0.08564875157631256,0.0607893849216846
qwen3-4b,FAM-NAMED,0.12413176836701859,0.006468441963394153,-0.09131763430197803,0.04553997264120601
qwen3-4b,FAM-UNNAMED,0.05225057324535103,0.25322606461610586,-0.11022834807756107,0.01568982313999848
qwen3-4b,INV-BASE,0.02909571869813232,0.5248234361888694,-0.07087387592709371,0.12098059632048493
qwen3-4b,INV-BASE-TWIN,-0.08699051333189584,0.05684390728810387,0.03097603309911147,0.49837808646808907
qwen3-4b,INV-LEX,0.09141827187707129,0.04530136293884434,,
qwen3-4b,INV-LEX-TWIN,0.1760735177287724,0.00010538082559371973,-0.07776756012467827,0.08876702662681248
qwen3-4b-base,FAM-NAMED,0.2374467121733267,9.035072349360407e-14,-0.186336041632991,5.994646981270332e-09
qwen3-4b-base,FAM-UNNAMED,0.09218331621698267,0.004255647941692838,0.023247334142558907,0.47186302795966684
qwen3-4b-base,INV-BASE,0.0,1.0,-0.012001056139412446,0.7103634251458728
qwen3-4b-base,INV-BASE-TWIN,-0.2797370493744347,1.0192496918477409e-18,0.18169949577712927,1.4306722454538366e-08
qwen3-4b-base,INV-LEX,0.041576143047211356,0.19807063363022737,,
qwen3-4b-base,INV-LEX-TWIN,0.18291095797291382,1.1422615705256383e-08,-0.022653722949297714,0.48325594829229973
qwen3-8b,FAM-NAMED,0.13192288075984399,0.0037865860889942,-0.13501014696497382,0.0030387298138698313
qwen3-8b,FAM-UNNAMED,0.28411511307776316,2.30471540929635e-10,-0.25351759184881995,1.780500780881134e-08
qwen3-8b,INV-BASE,0.07440729491417852,0.10348472502284654,-0.16172875660547426,0.0003743898352082029
qwen3-8b,INV-BASE-TWIN,-0.28968272975116055,9.845343695820977e-11,0.21265218617148943,2.592724766061323e-06
qwen3-8b,INV-LEX,0.09978747041588118,0.028816160960924046,,
qwen3-8b,INV-LEX-TWIN,0.250151932222124,2.7789584310123414e-08,-0.13577816186820668,0.00287487294899073
qwen3-8b-base,FAM-NAMED,0.23457322879332546,1.8190170933613497e-13,-0.22311736943742702,2.7029935436244614e-12
qwen3-8b-base,FAM-UNNAMED,0.10033979212958481,0.0018537000283337132,0.010498701657504843,0.7452752868880496
qwen3-8b-base,INV-BASE,0.0510809444238797,0.11372817546481669,-0.0978828849879706,0.0023963414671036823
qwen3-8b-base,INV-BASE-TWIN,-0.044241472799172954,0.17079411591303403,0.030094130655687834,0.3516318689440177
qwen3-8b-base,INV-LEX,0.04466128673290433,0.1667671727611327,,
qwen3-8b-base,INV-LEX-TWIN,0.20317401724485315,2.10752914889333e-10,-0.04812894104706898,0.13618705079282362
