model,condition,lattice_distance,mean,count
qwen3-4b,FAM-NAMED,2,0.9659090909090909,88
qwen3-4b,FAM-NAMED,3,0.8153846153846154,130
qwen3-4b,FAM-NAMED,4,0.8735632183908046,174
qwen3-4b,FAM-NAMED,5,0.8181818181818182,44
qwen3-4b,FAM-NAMED,6,0.9772727272727273,44
qwen3-4b,FAM-UNNAMED,2,0.6764705882352942,68
qwen3-4b,FAM-UNNAMED,3,0.7554744525547445,274
qwen3-4b,FAM-UNNAMED,4,0.3235294117647059,68
qwen3-4b,FAM-UNNAMED,8,0.8571428571428571,70
qwen3-4b,INV-BASE,2,0.9083333333333333,360
qwen3-4b,INV-BASE,3,0.8833333333333333,120
qwen3-4b,INV-BASE-TWIN,2,0.9111111111111111,360
qwen3-4b,INV-BASE-TWIN,3,0.7833333333333333,120
qwen3-4b,INV-LEX,2,0.8902439024390244,82
qwen3-4b,INV-LEX,3,0.8655913978494624,186
qwen3-4b,INV-LEX,4,0.8134328358208955,134
qwen3-4b,INV-LEX,5,1.0,26
qwen3-4b,INV-LEX,6,0.8461538461538461,26
qwen3-4b,INV-LEX,8,0.8461538461538461,26
qwen3-4b,INV-LEX-TWIN,2,0.8658536585365854,82
qwen3-4b,INV-LEX-TWIN,3,0.7473118279569892,186
qwen3-4b,INV-LEX-TWIN,4,0.8059701492537313,134
qwen3-4b,INV-LEX-TWIN,5,0.7307692307692307,26
qwen3-4b,INV-LEX-TWIN,6,1.0,26
qwen3-4b,INV-LEX-TWIN,8,1.0,26
qwen3-8b,FAM-NAMED,2,0.9659090909090909,88
qwen3-8b,FAM-NAMED,3,0.8769230769230769,130
qwen3-8b,FAM-NAMED,4,0.8275862068965517,174
qwen3-8b,FAM-NAMED,5,0.7045454545454546,44
qwen3-8b,FAM-NAMED,6,0.9772727272727273,44
qwen3-8b,FAM-UNNAMED,2,0.7647058823529411,68
qwen3-8b,FAM-UNNAMED,3,0.5036496350364964,274
qwen3-8b,FAM-UNNAMED,4,0.36764705882352944,68
qwen3-8b,FAM-UNNAMED,8,0.9714285714285714,70
qwen3-8b,INV-BASE,2,0.8805555555555555,360
qwen3-8b,INV-BASE,3,0.8666666666666667,120
qwen3-8b,INV-BASE-TWIN,2,0.8111111111111111,360
qwen3-8b,INV-BASE-TWIN,3,0.375,120
qwen3-8b,INV-LEX,2,0.7439024390243902,82
qwen3-8b,INV-LEX,3,0.6666666666666666,186
qwen3-8b,INV-LEX,4,0.6119402985074627,134
qwen3-8b,INV-LEX,5,0.9230769230769231,26
qwen3-8b,INV-LEX,6,0.5769230769230769,26
qwen3-8b,INV-LEX,8,0.9230769230769231,26
qwen3-8b,INV-LEX-TWIN,2,0.8902439024390244,82
qwen3-8b,INV-LEX-TWIN,3,0.7096774193548387,186
qwen3-8b,INV-LEX-TWIN,4,0.7686567164179104,134
qwen3-8b,INV-LEX-TWIN,5,0.6538461538461539,26
qwen3-8b,INV-LEX-TWIN,6,0.9230769230769231,26
qwen3-8b,INV-LEX-TWIN,8,1.0,26
