model,condition,relation,mean,count
qwen3-4b,FAM-NAMED,acceleration,0.8863636363636364,44
qwen3-4b,FAM-NAMED,area,1.0,44
qwen3-4b,FAM-NAMED,density,0.8636363636363636,44
qwen3-4b,FAM-NAMED,energy,0.8181818181818182,44
qwen3-4b,FAM-NAMED,flow rate,0.9523809523809523,42
qwen3-4b,FAM-NAMED,force,0.8863636363636364,44
qwen3-4b,FAM-NAMED,momentum,0.6428571428571429,42
qwen3-4b,FAM-NAMED,power,0.9772727272727273,44
qwen3-4b,FAM-NAMED,pressure,0.7954545454545454,44
qwen3-4b,FAM-NAMED,speed,0.9318181818181818,44
qwen3-4b,FAM-NAMED,volume,0.9090909090909091,44
qwen3-4b,FAM-UNNAMED,Q(L3/T5),0.8571428571428571,70
qwen3-4b,FAM-UNNAMED,Q(LT),0.6764705882352942,68
qwen3-4b,FAM-UNNAMED,Q(M/T2),0.6617647058823529,68
qwen3-4b,FAM-UNNAMED,Q(M2/T),0.8529411764705882,68
qwen3-4b,FAM-UNNAMED,Q(M2L),0.7714285714285715,70
qwen3-4b,FAM-UNNAMED,Q(ML3),0.3235294117647059,68
qwen3-4b,FAM-UNNAMED,Q(T2/L),0.7352941176470589,68
qwen3-4b,INV-BASE,X1 per length,0.95,120
qwen3-4b,INV-BASE,X1 rate,0.975,120
qwen3-4b,INV-BASE,X1 squared per time,0.8833333333333333,120
qwen3-4b,INV-BASE,X1 times length,0.8,120
qwen3-4b,INV-BASE-TWIN,X1 per length,0.975,120
qwen3-4b,INV-BASE-TWIN,X1 rate,0.9416666666666667,120
qwen3-4b,INV-BASE-TWIN,X1 squared per time,0.7833333333333333,120
qwen3-4b,INV-BASE-TWIN,X1 times length,0.8166666666666667,120
qwen3-4b,INV-LEX,Q(L3/T5),0.8461538461538461,26
qwen3-4b,INV-LEX,Q(LT),0.8846153846153846,26
qwen3-4b,INV-LEX,Q(M/T2),0.8076923076923077,26
qwen3-4b,INV-LEX,Q(M2/T),0.9230769230769231,26
qwen3-4b,INV-LEX,Q(M2L),0.6923076923076923,26
qwen3-4b,INV-LEX,Q(ML3),0.6923076923076923,26
qwen3-4b,INV-LEX,Q(T2/L),0.6923076923076923,26
qwen3-4b,INV-LEX,acceleration,0.9285714285714286,28
qwen3-4b,INV-LEX,area,0.7857142857142857,28
qwen3-4b,INV-LEX,density,0.7857142857142857,28
qwen3-4b,INV-LEX,energy,1.0,26
qwen3-4b,INV-LEX,flow rate,0.9615384615384616,26
qwen3-4b,INV-LEX,force,0.9285714285714286,28
qwen3-4b,INV-LEX,momentum,1.0,26
qwen3-4b,INV-LEX,power,0.8461538461538461,26
qwen3-4b,INV-LEX,pressure,0.6923076923076923,26
qwen3-4b,INV-LEX,speed,1.0,28
qwen3-4b,INV-LEX,volume,1.0,28
qwen3-4b,INV-LEX-TWIN,Q(L3/T5),1.0,26
qwen3-4b,INV-LEX-TWIN,Q(LT),0.6923076923076923,26
qwen3-4b,INV-LEX-TWIN,Q(M/T2),0.6538461538461539,26
qwen3-4b,INV-LEX-TWIN,Q(M2/T),0.9615384615384616,26
qwen3-4b,INV-LEX-TWIN,Q(M2L),0.5769230769230769,26
qwen3-4b,INV-LEX-TWIN,Q(ML3),0.4230769230769231,26
qwen3-4b,INV-LEX-TWIN,Q(T2/L),0.5384615384615384,26
qwen3-4b,INV-LEX-TWIN,acceleration,0.75,28
qwen3-4b,INV-LEX-TWIN,area,1.0,28
qwen3-4b,INV-LEX-TWIN,density,0.9285714285714286,28
qwen3-4b,INV-LEX-TWIN,energy,0.7307692307692307,26
qwen3-4b,INV-LEX-TWIN,flow rate,0.9615384615384616,26
qwen3-4b,INV-LEX-TWIN,force,0.8928571428571429,28
qwen3-4b,INV-LEX-TWIN,momentum,0.7307692307692307,26
qwen3-4b,INV-LEX-TWIN,power,1.0,26
qwen3-4b,INV-LEX-TWIN,pressure,0.8076923076923077,26
qwen3-4b,INV-LEX-TWIN,speed,0.8928571428571429,28
qwen3-4b,INV-LEX-TWIN,volume,1.0,28
qwen3-8b,FAM-NAMED,acceleration,0.9772727272727273,44
qwen3-8b,FAM-NAMED,area,0.9318181818181818,44
qwen3-8b,FAM-NAMED,density,0.6136363636363636,44
qwen3-8b,FAM-NAMED,energy,0.7045454545454546,44
qwen3-8b,FAM-NAMED,flow rate,0.8809523809523809,42
qwen3-8b,FAM-NAMED,force,0.8636363636363636,44
qwen3-8b,FAM-NAMED,momentum,0.6428571428571429,42
qwen3-8b,FAM-NAMED,power,0.9772727272727273,44
qwen3-8b,FAM-NAMED,pressure,0.9545454545454546,44
qwen3-8b,FAM-NAMED,speed,1.0,44
qwen3-8b,FAM-NAMED,volume,1.0,44
qwen3-8b,FAM-UNNAMED,Q(L3/T5),0.9714285714285714,70
qwen3-8b,FAM-UNNAMED,Q(LT),0.7647058823529411,68
qwen3-8b,FAM-UNNAMED,Q(M/T2),0.39705882352941174,68
qwen3-8b,FAM-UNNAMED,Q(M2/T),0.5588235294117647,68
qwen3-8b,FAM-UNNAMED,Q(M2L),0.44285714285714284,70
qwen3-8b,FAM-UNNAMED,Q(ML3),0.36764705882352944,68
qwen3-8b,FAM-UNNAMED,Q(T2/L),0.6176470588235294,68
qwen3-8b,INV-BASE,X1 per length,0.9666666666666667,120
qwen3-8b,INV-BASE,X1 rate,0.9916666666666667,120
qwen3-8b,INV-BASE,X1 squared per time,0.8666666666666667,120
qwen3-8b,INV-BASE,X1 times length,0.6833333333333333,120
qwen3-8b,INV-BASE-TWIN,X1 per length,0.9,120
qwen3-8b,INV-BASE-TWIN,X1 rate,0.9916666666666667,120
qwen3-8b,INV-BASE-TWIN,X1 squared per time,0.375,120
qwen3-8b,INV-BASE-TWIN,X1 times length,0.5416666666666666,120
qwen3-8b,INV-LEX,Q(L3/T5),0.9230769230769231,26
qwen3-8b,INV-LEX,Q(LT),0.6153846153846154,26
qwen3-8b,INV-LEX,Q(M/T2),0.5,26
qwen3-8b,INV-LEX,Q(M2/T),0.5,26
qwen3-8b,INV-LEX,Q(M2L),0.34615384615384615,26
qwen3-8b,INV-LEX,Q(ML3),0.4230769230769231,26
qwen3-8b,INV-LEX,Q(T2/L),0.5384615384615384,26
qwen3-8b,INV-LEX,acceleration,0.8928571428571429,28
qwen3-8b,INV-LEX,area,0.6428571428571429,28
qwen3-8b,INV-LEX,density,0.7857142857142857,28
qwen3-8b,INV-LEX,energy,0.9230769230769231,26
qwen3-8b,INV-LEX,flow rate,0.5769230769230769,26
qwen3-8b,INV-LEX,force,0.5,28
qwen3-8b,INV-LEX,momentum,0.8461538461538461,26
qwen3-8b,INV-LEX,power,0.5769230769230769,26
qwen3-8b,INV-LEX,pressure,0.7692307692307693,26
qwen3-8b,INV-LEX,speed,0.9642857142857143,28
qwen3-8b,INV-LEX,volume,1.0,28
qwen3-8b,INV-LEX-TWIN,Q(L3/T5),1.0,26
qwen3-8b,INV-LEX-TWIN,Q(LT),0.6538461538461539,26
qwen3-8b,INV-LEX-TWIN,Q(M/T2),0.6153846153846154,26
qwen3-8b,INV-LEX-TWIN,Q(M2/T),0.6538461538461539,26
qwen3-8b,INV-LEX-TWIN,Q(M2L),0.38461538461538464,26
qwen3-8b,INV-LEX-TWIN,Q(ML3),0.5,26
qwen3-8b,INV-LEX-TWIN,Q(T2/L),0.5,26
qwen3-8b,INV-LEX-TWIN,acceleration,1.0,28
qwen3-8b,INV-LEX-TWIN,area,1.0,28
qwen3-8b,INV-LEX-TWIN,density,0.6071428571428571,28
qwen3-8b,INV-LEX-TWIN,energy,0.6538461538461539,26
qwen3-8b,INV-LEX-TWIN,flow rate,0.9230769230769231,26
qwen3-8b,INV-LEX-TWIN,force,0.8928571428571429,28
qwen3-8b,INV-LEX-TWIN,momentum,0.7692307692307693,26
qwen3-8b,INV-LEX-TWIN,power,0.9230769230769231,26
qwen3-8b,INV-LEX-TWIN,pressure,0.9230769230769231,26
qwen3-8b,INV-LEX-TWIN,speed,1.0,28
qwen3-8b,INV-LEX-TWIN,volume,1.0,28
