model,condition,style,mean,count
qwen3-4b,FAM-NAMED,ascii,0.875,88
qwen3-4b,FAM-NAMED,long,0.9204545454545454,88
qwen3-4b,FAM-NAMED,per,0.7021276595744681,94
qwen3-4b,FAM-NAMED,slash,0.8918918918918919,111
qwen3-4b,FAM-NAMED,symbol,1.0,99
qwen3-4b,FAM-UNNAMED,ascii,0.6666666666666666,105
qwen3-4b,FAM-UNNAMED,long,0.7195121951219512,82
qwen3-4b,FAM-UNNAMED,per,0.5670103092783505,97
qwen3-4b,FAM-UNNAMED,slash,0.59,100
qwen3-4b,FAM-UNNAMED,symbol,0.9583333333333334,96
qwen3-4b,INV-BASE,long,0.9097222222222222,144
qwen3-4b,INV-BASE,per,0.8963414634146342,164
qwen3-4b,INV-BASE,slash,0.9011627906976745,172
qwen3-4b,INV-BASE-TWIN,long,0.9083333333333333,120
qwen3-4b,INV-BASE-TWIN,per,0.75,104
qwen3-4b,INV-BASE-TWIN,slash,0.8823529411764706,136
qwen3-4b,INV-BASE-TWIN,symbol,0.9583333333333334,120
qwen3-4b,INV-LEX,long,0.783625730994152,171
qwen3-4b,INV-LEX,per,0.8888888888888888,144
qwen3-4b,INV-LEX,slash,0.9151515151515152,165
qwen3-4b,INV-LEX-TWIN,long,0.819672131147541,122
qwen3-4b,INV-LEX-TWIN,per,0.6967213114754098,122
qwen3-4b,INV-LEX-TWIN,slash,0.7796610169491526,118
qwen3-4b,INV-LEX-TWIN,symbol,0.9491525423728814,118
qwen3-8b,FAM-NAMED,ascii,0.8522727272727273,88
qwen3-8b,FAM-NAMED,long,0.8522727272727273,88
qwen3-8b,FAM-NAMED,per,0.8297872340425532,94
qwen3-8b,FAM-NAMED,slash,0.8198198198198198,111
qwen3-8b,FAM-NAMED,symbol,0.98989898989899,99
qwen3-8b,FAM-UNNAMED,ascii,0.6,105
qwen3-8b,FAM-UNNAMED,long,0.5487804878048781,82
qwen3-8b,FAM-UNNAMED,per,0.4845360824742268,97
qwen3-8b,FAM-UNNAMED,slash,0.45,100
qwen3-8b,FAM-UNNAMED,symbol,0.8645833333333334,96
qwen3-8b,INV-BASE,long,0.8402777777777778,144
qwen3-8b,INV-BASE,per,0.8719512195121951,164
qwen3-8b,INV-BASE,slash,0.9127906976744186,172
qwen3-8b,INV-BASE-TWIN,long,0.7083333333333334,120
qwen3-8b,INV-BASE-TWIN,per,0.6346153846153846,104
qwen3-8b,INV-BASE-TWIN,slash,0.5661764705882353,136
qwen3-8b,INV-BASE-TWIN,symbol,0.9083333333333333,120
qwen3-8b,INV-LEX,long,0.6549707602339181,171
qwen3-8b,INV-LEX,per,0.7083333333333334,144
qwen3-8b,INV-LEX,slash,0.703030303030303,165
qwen3-8b,INV-LEX-TWIN,long,0.7131147540983607,122
qwen3-8b,INV-LEX-TWIN,per,0.7377049180327869,122
qwen3-8b,INV-LEX-TWIN,slash,0.7457627118644068,118
qwen3-8b,INV-LEX-TWIN,symbol,0.9322033898305084,118
