model,task,version,condition,n,acc,ci_lo,ci_hi,chance,acc_length_matched,n_length_matched,acc_gen,acc_gen_dim,gen_parsed,acc_gen_dim|parsed,acc_inorder,acc_swapped,swap_penalty,swapped_ci_lo,swapped_ci_hi,auroc,acc_calibrated,yes_rate,acc_gen_choice,gen_choice_rate,pred_dist
qwen3-4b,T1,v2,FAM-NAMED,480,0.8791666666666667,0.8303377190572983,0.9238487545916357,0.25,0.8861111111111111,360.0,0.06875,0.8541666666666666,1.0,0.8541666666666666,0.9090909090909091,0.8350515463917526,0.07403936269915645,0.75,0.9099848565579515,,,,,,
qwen3-4b,T1,v2,FAM-UNNAMED,480,0.6979166666666666,0.5878904705772423,0.7968842273622047,0.25,0.6883468834688347,369.0,0.03125,0.5854166666666667,0.9770833333333333,0.5991471215351812,0.7631578947368421,0.616822429906542,0.14633546483030013,0.45248081841432225,0.7634521798584295,,,,,,
qwen3-4b,T1,v2,INV-BASE,480,0.9020833333333333,0.8422064777327934,0.9557329963235294,0.25,0.8848684210526315,304.0,0.09375,0.9354166666666667,1.0,0.9354166666666667,0.9111969111969112,0.8914027149321267,0.019794196264784403,0.7866572580645161,0.9798994974874372,,,,,,
qwen3-4b,T1,v2,INV-BASE-TWIN,480,0.8791666666666667,0.8012542753358738,0.9494778492995077,0.25,0.8753387533875339,369.0,0.33958333333333335,0.75,1.0,0.75,0.9305019305019305,0.8190045248868778,0.11149740561505272,0.7024793388429752,0.95,,,,,,
qwen3-4b,T1,v2,INV-LEX,480,0.8604166666666667,0.808506600993177,0.9070249105151703,0.25,0.8660714285714286,336.0,0.26875,0.5875,0.9270833333333334,0.6337078651685393,0.8888888888888888,0.8208955223880597,0.0679933665008291,0.7351241036955323,0.8995215311004785,,,,,,
qwen3-4b,T1,v2,INV-LEX-TWIN,480,0.8104166666666667,0.7450467148884871,0.8699268838325966,0.25,0.8126582278481013,395.0,0.25833333333333336,0.7333333333333333,0.9875,0.7426160337552743,0.8422939068100358,0.7661691542288557,0.07612475258118012,0.6666666666666666,0.8607031686487349,,,,,,
qwen3-4b,T2,v1,FAM-DIFF-FAR,240,0.6708333333333333,0.5519966804979254,0.7956588287488908,0.5,,,0.0,0.0,0.0,,,,,,,0.7395833333333333,0.6666666666666666,0.22083333333333333,0.6583333333333333,1.0,
qwen3-4b,T2,v1,FAM-NEAR-MISS,240,0.575,0.4560473857876654,0.6791746794871795,0.5,,,0.0,0.0,0.0,,,,,,,0.6010069444444444,0.575,0.375,0.5958333333333333,1.0,
qwen3-4b,T2,v1,FAM-SAME-DIM,240,0.5666666666666667,0.45901639344262296,0.6839684707050645,0.5,,,0.0,0.0,0.0,,,,,,,0.6472169844262867,0.5875,0.18333333333333332,0.5416666666666666,1.0,
qwen3-4b,T2,v1,FAM-SAME-UNIT,240,0.8375,0.7272635998539613,0.9294129851110569,0.5,,,0.0,0.0,0.0,,,,,,,0.905,0.8333333333333334,0.3958333333333333,0.8291666666666667,1.0,
qwen3-4b,T2,v1,INV-BASE,240,0.775,0.5943485807637329,0.9399395157639303,0.5,,,0.0,0.0,0.0,,,,,,,0.845,0.7,0.3416666666666667,0.775,1.0,
qwen3-4b,T2,v1,INV-LEX,240,0.8083333333333333,0.6933520696533955,0.90367413549753,0.5,,,0.0,0.0,0.0,,,,,,,0.8949305555555556,0.8,0.45416666666666666,0.8208333333333333,1.0,
qwen3-4b,T3,v1,FAM-NAMED,240,0.9625,0.9325396825396826,0.9871875,0.25,,,0.0,0.025,0.225,0.1111111111111111,,,,,,,0.9625,,0.9692982456140351,0.95,"[52, 67, 62, 59]"
qwen3-4b,T3,v1,FAM-UNNAMED,240,0.8583333333333333,0.7865612648221344,0.9244444444444444,0.25,,,0.0,0.075,0.2916666666666667,0.2571428571428571,,,,,,,0.8958333333333334,,0.8428571428571429,0.875,"[56, 48, 53, 83]"
qwen3-4b,T3,v1,INV-LEX,240,0.8916666666666667,0.8177683615819209,0.9603174603174603,0.25,,,0.0,0.0375,0.10833333333333334,0.34615384615384615,,,,,,,0.9208333333333333,,0.8851674641148325,0.8708333333333333,"[61, 51, 64, 64]"
qwen3-4b,T4,v1,FAM-DIFF-FAR,240,0.8583333333333333,0.7930956818887853,0.9125090767634854,0.5,,,0.0,0.008333333333333333,0.0125,0.6666666666666666,,,,,,0.9209375000000001,0.85,0.5208333333333334,0.8438818565400844,0.9875,
qwen3-4b,T4,v1,FAM-DIFF-NEAR,240,0.7708333333333334,0.708139323022107,0.8266242723744845,0.5,,,0.0,0.008333333333333333,0.008333333333333333,1.0,,,,,,0.862048611111111,0.7666666666666667,0.6291666666666667,0.7941176470588235,0.9916666666666667,
qwen3-4b,T4,v1,FAM-NEAR-MISS,240,0.7916666666666666,0.7219917012448133,0.8584212616292262,0.5,,,0.0,0.0,0.0,,,,,,,0.9653472222222221,0.8833333333333333,0.6958333333333333,0.8541666666666666,1.0,
qwen3-4b,T4,v1,FAM-SAME-DIM,240,0.8708333333333333,0.7958333333333333,0.9330613668061367,0.5,,,0.0,0.004166666666666667,0.004166666666666667,1.0,,,,,,0.9529513888888889,0.8833333333333333,0.5541666666666667,0.8786610878661087,0.9958333333333333,
qwen3-4b,T4,v1,INV-LEX,240,0.7541666666666667,0.5487769289171491,0.9710144927536232,0.5,,,0.0,0.004166666666666667,0.004166666666666667,1.0,,,,,,0.9640277777777777,0.8916666666666667,0.7458333333333333,0.891213389121339,0.9958333333333333,
qwen3-4b,T5,v1,FAM-FAR,240,0.5458333333333333,0.46441947565543074,0.6388888888888888,0.3333333333333333,,,0.0,0.0125,0.9541666666666667,0.013100436681222707,,,,,,,0.6541666666666667,,0.5458333333333333,1.0,"[6, 77, 157]"
qwen3-4b,T5,v1,FAM-NEAR,240,0.5,0.4268774703557312,0.5666666666666667,0.3333333333333333,,,0.0,0.0125,0.9416666666666667,0.01327433628318584,,,,,,,0.5166666666666667,,0.5041666666666667,1.0,"[5, 74, 161]"
qwen3-4b,T5,v1,INV-LEX,240,0.4708333333333333,0.3318777292576419,0.6175410716683826,0.3333333333333333,,,0.0,0.0,0.49583333333333335,0.0,,,,,,,0.5375,,0.6125,1.0,"[20, 81, 139]"
qwen3-8b,T1,v2,FAM-NAMED,480,0.86875,0.8157236407038824,0.918918918918919,0.25,0.8777777777777778,360.0,0.06666666666666667,0.875,0.9958333333333333,0.8786610878661087,0.8706293706293706,0.865979381443299,0.004649989186071624,0.7777777777777778,0.9411996904024766,,,,,,
