model,condition,rho_distance,p_distance,rho_logfreq,p_logfreq
qwen3-4b,FAM-NAMED,-0.01746052791103935,0.7027783415665367,0.08287711963790742,0.09216242049165282
qwen3-4b,FAM-UNNAMED,-0.052146093816685155,0.25417764646912294,-0.10395623542830745,0.022738299273252858
qwen3-4b,INV-BASE,-0.03642411470283679,0.42591815223434787,,
qwen3-4b,INV-BASE-TWIN,-0.16975672264173028,0.00018649487168237463,0.06839018673763099,0.13460167928916822
qwen3-4b,INV-LEX,-0.03044002128810875,0.5058440384221051,,
qwen3-4b,INV-LEX-TWIN,0.06212848732797958,0.17416843623663025,0.07023623502546952,0.12437048003592849
qwen3-8b,FAM-NAMED,-0.11343680633725346,0.012888778031635434,0.11103242956563937,0.02386255112644492
qwen3-8b,FAM-UNNAMED,0.06124340295894595,0.18039657067204298,0.04793319545839764,0.294625657851803
qwen3-8b,INV-BASE,-0.018316492954176505,0.6889491591674308,,
qwen3-8b,INV-BASE-TWIN,-0.41291062273162527,3.463912406911069e-21,0.3234051565003313,3.7841040172520026e-13
qwen3-8b,INV-LEX,0.008615212140993908,0.8506718923952045,,
qwen3-8b,INV-LEX-TWIN,0.014413311921761165,0.7527822494866105,0.1161579747731579,0.010868922274072598
