model,task,version,condition,min,max,range
qwen3-4b,T1,v2,FAM-NAMED,0.5,1.0,0.5
qwen3-4b,T1,v2,FAM-UNNAMED,0.24324324324324326,0.9512195121951219,0.7079762689518787
qwen3-4b,T1,v2,INV-BASE,0.746031746031746,1.0,0.25396825396825395
qwen3-4b,T1,v2,INV-BASE-TWIN,0.7142857142857143,0.9836065573770492,0.26932084309133486
qwen3-4b,T1,v2,INV-LEX,0.5,1.0,0.5
qwen3-4b,T1,v2,INV-LEX-TWIN,0.0,1.0,1.0
qwen3-4b,T2,v1,FAM-DIFF-FAR,0.5333333333333333,0.9444444444444444,0.4111111111111111
qwen3-4b,T2,v1,FAM-NEAR-MISS,0.34285714285714286,0.7391304347826086,0.3962732919254658
qwen3-4b,T2,v1,FAM-SAME-DIM,0.42,0.7105263157894737,0.2905263157894737
qwen3-4b,T2,v1,FAM-SAME-UNIT,0.6097560975609756,0.9743589743589743,0.36460287679799874
qwen3-4b,T2,v1,INV-BASE,0.5208333333333334,1.0,0.47916666666666663
qwen3-4b,T2,v1,INV-LEX,0.5882352941176471,0.9459459459459459,0.35771065182829886
qwen3-4b,T3,v1,FAM-NAMED,0.9444444444444444,0.9743589743589743,0.02991452991452992
qwen3-4b,T3,v1,FAM-UNNAMED,0.7954545454545454,0.9066666666666666,0.1112121212121212
qwen3-4b,T3,v1,INV-LEX,0.8421052631578947,0.9642857142857143,0.12218045112781961
qwen3-4b,T4,v1,FAM-DIFF-FAR,0.7916666666666666,0.9107142857142857,0.11904761904761907
qwen3-4b,T4,v1,FAM-DIFF-NEAR,0.7333333333333333,0.8028169014084507,0.06948356807511746
qwen3-4b,T4,v1,FAM-NEAR-MISS,0.7288135593220338,0.8545454545454545,0.12573189522342065
qwen3-4b,T4,v1,FAM-SAME-DIM,0.7796610169491526,0.9310344827586207,0.1513734658094681
qwen3-4b,T4,v1,INV-LEX,0.5074626865671642,1.0,0.4925373134328358
qwen3-4b,T5,v1,FAM-FAR,0.4943820224719101,0.625,0.1306179775280899
qwen3-4b,T5,v1,FAM-NEAR,0.4657534246575342,0.5194805194805194,0.05372709482298521
qwen3-4b,T5,v1,INV-LEX,0.3717948717948718,0.6292134831460674,0.2574186113511956
qwen3-8b,T1,v2,FAM-NAMED,0.3333333333333333,1.0,0.6666666666666667
qwen3-8b,T1,v2,FAM-UNNAMED,0.15789473684210525,1.0,0.8421052631578947
qwen3-8b,T1,v2,INV-BASE,0.6666666666666666,1.0,0.33333333333333337
qwen3-8b,T1,v2,INV-BASE-TWIN,0.25862068965517243,1.0,0.7413793103448276
qwen3-8b,T1,v2,INV-LEX,0.14285714285714285,1.0,0.8571428571428572
qwen3-8b,T1,v2,INV-LEX-TWIN,0.3333333333333333,1.0,0.6666666666666667
qwen3-8b,T2,v1,FAM-DIFF-FAR,0.6,0.8333333333333334,0.2333333333333334
qwen3-8b,T2,v1,FAM-NEAR-MISS,0.34285714285714286,0.8043478260869565,0.4614906832298137
qwen3-8b,T2,v1,FAM-SAME-DIM,0.41304347826086957,0.813953488372093,0.40091001011122346
qwen3-8b,T2,v1,FAM-SAME-UNIT,0.7555555555555555,1.0,0.24444444444444446
qwen3-8b,T2,v1,INV-BASE,0.5208333333333334,1.0,0.47916666666666663
qwen3-8b,T2,v1,INV-LEX,0.5714285714285714,1.0,0.4285714285714286
qwen3-8b,T3,v1,FAM-NAMED,0.20512820512820512,0.7,0.49487179487179483
qwen3-8b,T3,v1,FAM-UNNAMED,0.3068181818181818,0.6623376623376623,0.3555194805194805
qwen3-8b,T3,v1,INV-LEX,0.25,0.3157894736842105,0.06578947368421051
qwen3-8b,T4,v1,FAM-DIFF-FAR,0.873015873015873,0.9166666666666666,0.04365079365079361
qwen3-8b,T4,v1,FAM-DIFF-NEAR,0.6071428571428571,0.8867924528301887,0.2796495956873316
qwen3-8b,T4,v1,FAM-NEAR-MISS,0.6911764705882353,0.864406779661017,0.1732303090727817
qwen3-8b,T4,v1,FAM-SAME-DIM,0.7741935483870968,0.896551724137931,0.1223581757508343
qwen3-8b,T4,v1,INV-LEX,0.8035714285714286,0.9583333333333334,0.15476190476190477
qwen3-8b,T5,v1,FAM-FAR,0.3258426966292135,0.46835443037974683,0.14251173375053333
qwen3-8b,T5,v1,FAM-NEAR,0.3287671232876712,0.5,0.17123287671232879
qwen3-8b,T5,v1,INV-LEX,0.3150684931506849,0.4157303370786517,0.10066184392796679
