model,task,version,condition,n,acc,ci_lo,ci_hi,chance,acc_length_matched,n_length_matched,acc_gen,acc_gen_dim,gen_parsed,acc_gen_dim|parsed,acc_inorder,acc_swapped,swap_penalty,swapped_ci_lo,swapped_ci_hi
gemma2-9b,T1,v1,ARITH-FAM,240,0.7125,0.5446297212601022,0.8629074086467675,0.25,0.7383177570093458,214,0.22916666666666666,0.49583333333333335,0.9041666666666667,0.5483870967741935,0.7125,,,,
gemma2-9b,T1,v1,ARITH-INV,240,0.8333333333333334,0.7175751522070015,0.9288551598823596,0.25,0.8994413407821229,179,0.225,0.625,0.8541666666666666,0.7317073170731707,0.8333333333333334,,,,
gemma2-9b,T1,v1,ARITH-INV-NODEF,240,0.7708333333333334,0.6746791513881613,0.855322888962766,0.25,0.8505747126436781,174,0.11666666666666667,0.17916666666666667,0.5166666666666667,0.3467741935483871,0.7708333333333334,,,,
gemma2-9b,T1,v1,ARITH-INV-NODEF-TWIN,240,0.6958333333333333,0.5471545336490719,0.8428011240135508,0.25,0.7564766839378239,193,0.2916666666666667,0.5125,0.9125,0.5616438356164384,0.6958333333333333,,,,
gemma2-9b,T1,v1,ARITH-INV-TWIN,240,0.7375,0.5943217695256708,0.8672576856939144,0.25,0.8108108108108109,185,0.30416666666666664,0.525,0.9041666666666667,0.5806451612903226,0.7375,,,,
gemma2-9b,T1,v1,FAM-NAMED,240,0.9833333333333333,0.9590163934426229,1.0,0.25,0.9906542056074766,214,0.3458333333333333,0.7125,0.95,0.75,0.9793103448275862,0.9894736842105263,-0.010163339382940118,0.9519201807228915,1.0
gemma2-9b,T1,v1,FAM-UNNAMED,240,0.8416666666666667,0.7559818565400844,0.9264100185528757,0.25,0.8932038834951457,206,0.19583333333333333,0.6916666666666667,0.8625,0.8019323671497585,0.8790322580645161,0.8017241379310345,0.07730812013348165,0.6929824561403509,0.9196428571428571
gemma2-9b,T1,v1,INV-BASE,240,0.9041666666666667,0.7802185960591133,1.0,0.25,0.9593908629441624,197,0.6458333333333334,0.925,0.9875,0.9367088607594937,0.905511811023622,0.9026548672566371,0.002856943766984865,0.7446808510638298,1.0
gemma2-9b,T1,v1,INV-BASE-TWIN,240,0.9125,0.8443555846144033,0.9768623737373737,0.25,0.9436619718309859,213,0.575,0.8375,0.925,0.9054054054054054,0.9133858267716536,0.911504424778761,0.0018814019928925507,0.8125,1.0
gemma2-9b,T1,v1,INV-LEX,240,0.9083333333333333,0.837395954316686,0.9650692994114297,0.25,0.935,200,0.3375,0.55,0.925,0.5945945945945946,0.9090909090909091,0.9074074074074074,0.0016835016835016203,0.77981262634116,0.9906563689858082
