model,task,version,condition,min,max,range
gemma2-9b,T1,v1,ARITH-FAM,0.125,1.0,0.875
gemma2-9b,T1,v1,ARITH-INV,0.25,1.0,0.75
gemma2-9b,T1,v1,ARITH-INV-NODEF,0.5,1.0,0.5
gemma2-9b,T1,v1,ARITH-INV-NODEF-TWIN,0.16666666666666666,1.0,0.8333333333333334
gemma2-9b,T1,v1,ARITH-INV-TWIN,0.11764705882352941,1.0,0.8823529411764706
gemma2-9b,T1,v1,FAM-NAMED,0.75,1.0,0.25
gemma2-9b,T1,v1,FAM-UNNAMED,0.5454545454545454,1.0,0.4545454545454546
gemma2-9b,T1,v1,INV-BASE,0.5862068965517241,1.0,0.4137931034482759
gemma2-9b,T1,v1,INV-BASE-TWIN,0.7857142857142857,1.0,0.2142857142857143
gemma2-9b,T1,v1,INV-LEX,0.25,1.0,0.75
gemma2-9b,T1,v1,INV-LEX-TWIN,0.0,1.0,1.0
olmo3-7b,T1,v1,ARITH-FAM,0.16666666666666666,1.0,0.8333333333333334
olmo3-7b,T1,v1,ARITH-INV,0.058823529411764705,1.0,0.9411764705882353
olmo3-7b,T1,v1,ARITH-INV-NODEF,0.5,0.9090909090909091,0.40909090909090906
olmo3-7b,T1,v1,ARITH-INV-NODEF-TWIN,0.375,1.0,0.625
olmo3-7b,T1,v1,ARITH-INV-TWIN,0.17647058823529413,1.0,0.8235294117647058
olmo3-7b,T1,v1,FAM-NAMED,0.75,1.0,0.25
olmo3-7b,T1,v1,FAM-UNNAMED,0.5625,1.0,0.4375
olmo3-7b,T1,v1,INV-BASE,0.5806451612903226,1.0,0.4193548387096774
olmo3-7b,T1,v1,INV-BASE-TWIN,0.7419354838709677,1.0,0.25806451612903225
olmo3-7b,T1,v1,INV-LEX,0.25,1.0,0.75
olmo3-7b,T1,v1,INV-LEX-TWIN,0.0,1.0,1.0
qwen3-14b-base,T1,v1,ARITH-FAM,0.25,1.0,0.75
qwen3-14b-base,T1,v1,ARITH-INV,0.5294117647058824,1.0,0.47058823529411764
qwen3-14b-base,T1,v1,ARITH-INV-NODEF,0.5,1.0,0.5
qwen3-14b-base,T1,v1,ARITH-INV-NODEF-TWIN,0.3333333333333333,1.0,0.6666666666666667
qwen3-14b-base,T1,v1,ARITH-INV-TWIN,0.17647058823529413,1.0,0.8235294117647058
qwen3-14b-base,T1,v1,FAM-NAMED,0.6666666666666666,1.0,0.33333333333333337
qwen3-14b-base,T1,v1,FAM-UNNAMED,0.6666666666666666,1.0,0.33333333333333337
qwen3-14b-base,T1,v1,INV-BASE,0.6551724137931034,1.0,0.3448275862068966
qwen3-14b-base,T1,v1,INV-BASE-TWIN,0.8125,1.0,0.1875
qwen3-14b-base,T1,v1,INV-LEX,0.375,1.0,0.625
qwen3-14b-base,T1,v1,INV-LEX-TWIN,0.0,1.0,1.0
qwen3-4b-base,T1,v1,ARITH-FAM,0.1875,1.0,0.8125
qwen3-4b-base,T1,v1,ARITH-INV,0.47058823529411764,1.0,0.5294117647058824
qwen3-4b-base,T1,v1,ARITH-INV-NODEF,0.5555555555555556,0.9285714285714286,0.373015873015873
qwen3-4b-base,T1,v1,ARITH-INV-NODEF-TWIN,0.1111111111111111,1.0,0.8888888888888888
qwen3-4b-base,T1,v1,ARITH-INV-TWIN,0.17647058823529413,1.0,0.8235294117647058
qwen3-4b-base,T1,v1,FAM-NAMED,0.8333333333333334,1.0,0.16666666666666663
qwen3-4b-base,T1,v1,FAM-UNNAMED,0.5333333333333333,1.0,0.4666666666666667
qwen3-4b-base,T1,v1,INV-BASE,0.7586206896551724,1.0,0.24137931034482762
qwen3-4b-base,T1,v1,INV-BASE-TWIN,0.59375,1.0,0.40625
qwen3-4b-base,T1,v1,INV-LEX,0.25,1.0,0.75
qwen3-4b-base,T1,v1,INV-LEX-TWIN,0.0,1.0,1.0
qwen3-8b-base,T1,v1,ARITH-FAM,0.1875,1.0,0.8125
qwen3-8b-base,T1,v1,ARITH-INV,0.17647058823529413,1.0,0.8235294117647058
qwen3-8b-base,T1,v1,ARITH-INV-NODEF,0.4,1.0,0.6
qwen3-8b-base,T1,v1,ARITH-INV-NODEF-TWIN,0.3888888888888889,1.0,0.6111111111111112
qwen3-8b-base,T1,v1,ARITH-INV-TWIN,0.4117647058823529,1.0,0.5882352941176471
qwen3-8b-base,T1,v1,FAM-NAMED,1.0,1.0,0.0
qwen3-8b-base,T1,v1,FAM-UNNAMED,0.36363636363636365,1.0,0.6363636363636364
qwen3-8b-base,T1,v1,INV-BASE,0.5517241379310345,1.0,0.4482758620689655
qwen3-8b-base,T1,v1,INV-BASE-TWIN,0.7741935483870968,1.0,0.22580645161290325
qwen3-8b-base,T1,v1,INV-LEX,0.25,1.0,0.75
qwen3-8b-base,T1,v1,INV-LEX-TWIN,0.0,1.0,1.0
