position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/axis_acc,random/task/sign_acc,random/task/nonzero_axis_acc,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/axis_acc,random/control/sign_acc,random/control/nonzero_axis_acc,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/axis_acc,cross_lexeme/task/sign_acc,cross_lexeme/task/nonzero_axis_acc,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/axis_acc,cross_lexeme/control/sign_acc,cross_lexeme/control/nonzero_axis_acc,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/axis_acc,lattice_holdout/task/sign_acc,lattice_holdout/task/nonzero_axis_acc,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/axis_acc,lattice_holdout/control/sign_acc,lattice_holdout/control/nonzero_axis_acc,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
anaphor,0,3429,main_s0_anaphor,0.00020950068325116997,0.0,1.1849440787154077,0.2249757045675413,0.22546161321671526,0.0,0.018950437317784258,"[0.002469572051968405, -0.0024349737917521708, 0.0005939037895372756]",-0.00561994111927544,0.0,1.2221052726306223,0.20602526724975703,0.20602526724975703,0.0,0.013119533527696793,"[-0.011287935258234016, -0.004614083991069551, -0.0009578041085227529]",0.005830903790087464,0.00582944180252661,-0.004778513390570745,0.00029163021289005544,1.1709614935825996,0.23340138038300767,0.2345679012345679,0.0012672665061462425,0.02537182852143482,"[-0.0025940908170050125, -0.00875214410510794, -0.0029893052495992833]",-0.004431932289114944,0.0,1.2255161336969063,0.20608535044230583,0.20608535044230583,0.00012242899118511264,0.00699912510936133,"[-0.004754768551476607, -0.007011607384465268, -0.0015294209314029583]",0.01837270341207349,-0.0003465811014558007,-0.017453768096575322,0.0,1.2941431205432827,0.16745019028430713,0.1680098500111932,0.00026881720430107527,0.0,"[-0.021637791859529187, -0.013668217778337821, -0.017055294651858954]",-0.003681036432091611,0.0,1.2325900310308884,0.20349227669576897,0.20349227669576897,0.0,0.005372733378106112,"[-0.004785754049698054, 0.0011120066287630959, -0.007369361875339875]",-0.005372733378106112,-0.013772731664483711
anaphor,4,3429,main_s0_anaphor,0.3739252496037846,0.03935860058309038,0.8976709438547622,0.3401360544217687,0.5539358600583091,0.2658307210031348,0.04518950437317784,"[0.321763640974145, 0.4194867307318705, 0.3805253771053383]",0.016333577281422523,0.0,1.21790484766794,0.20602526724975703,0.206511175898931,0.0006119951040391676,0.01020408163265306,"[0.003126008512304823, 0.03435880672524694, 0.011515916606715804]",0.03498542274052478,0.35759167232236205,0.3141588108184334,0.04199475065616798,0.9342879635866076,0.32244580538543793,0.5258092738407699,0.2491445951083513,0.0457859434237387,"[0.2466146929416586, 0.37716891916971607, 0.31869282034392543]",-0.018065888265212715,0.00029163021289005544,1.240060430896734,0.20637698065519589,0.20676582093904927,0.0009794319294809011,0.009915427238261883,"[-0.01827832845386701, -0.013579394853707294, -0.02233994148806384]",0.03587051618547682,0.3322246990836461,0.284615954276404,0.02182672934855608,1.029677474075265,0.28117304678755317,0.48589657488247145,0.22325268817204302,0.02182672934855608,"[0.22248721991168685, 0.350261248894586, 0.28109939402293926]",-0.013815320087786668,0.0,1.2453784035195712,0.20360420864114617,0.2037161405865234,0.00014058765640376775,0.006715916722632639,"[-0.018612995167704094, 0.0031438282865879907, -0.0259767933822439]",0.01511081262592344,0.2984312743641907
anaphor,8,3429,main_s0_anaphor,0.4705110290004413,0.04956268221574344,0.8215306666566546,0.37657920310981535,0.607871720116618,0.3047021943573668,0.056851311953352766,"[0.4332634165511565, 0.4804302229433619, 0.49783944750680553]",0.023747240824085636,0.0,1.213064277633994,0.206511175898931,0.20748299319727892,0.0006119951040391676,0.013119533527696793,"[0.010074976018626836, 0.035865060748343724, 0.025301685705286348]",0.043731778425655975,0.44676378817635565,0.417375956125457,0.048118985126859144,0.860870273714454,0.34820647419072615,0.5717896374064353,0.2776580914966417,0.05307669874599009,"[0.39973016300183184, 0.4321831124124341, 0.42021459296210506]",-0.16776772190533204,0.004666083406240887,1.3194414588658148,0.196461553416934,0.26032857003985616,0.07566111655239961,0.008165645960921552,"[-0.17038684786964708, -0.1743727419679031, -0.15854357587844592]",0.04491105278506854,0.585143678030789,0.3668572671313404,0.0315648085963734,0.9648101988788723,0.30165659279158274,0.5335795836131632,0.24825268817204302,0.0315648085963734,"[0.3282007806259791, 0.40808641524404965, 0.36428460552399244]",-0.09970504520498014,0.0036937541974479517,1.2959832110578287,0.19509738079247818,0.23718379225430938,0.04723745255166596,0.007723304231027535,"[-0.11176022561488086, -0.09605295743176101, -0.09130195256829854]",0.023841504365345868,0.46656231233632056
anaphor,12,3429,main_s0_anaphor,0.507039573838748,0.07871720116618076,0.7991337499104303,0.3741496598639456,0.6112730806608357,0.30094043887147337,0.08746355685131195,"[0.5089667863742333, 0.5206937345097251, 0.49145820063228574]",0.02367191228818688,0.0,1.2139465909131528,0.2055393586005831,0.20699708454810495,0.0006119951040391676,0.011661807580174927,"[0.006003906882083854, 0.039816639169064416, 0.02519519081341237]",0.07580174927113702,0.4833676615505611,0.44658171910866695,0.048993875765529306,0.8434685299237639,0.3467483231262759,0.5793720229415767,0.27525028513496386,0.05395158938466025,"[0.42406340754449734, 0.48615736492024253, 0.4295243848612609]",-0.14055983941844885,0.005540974044911053,1.3046312238592837,0.20375230873918537,0.27179935841353164,0.08386385896180215,0.008748906386701663,"[-0.13495464382864242, -0.13622742904778762, -0.15049744537891652]",0.045202682997958585,0.5871415585271158,0.3988116991134203,0.03794492948287441,0.9396581556039226,0.3090441011864786,0.5567494963062458,0.256989247311828,0.03928811282740094,"[0.37100087117347336, 0.47578603075817605, 0.3496481954086116]",-0.10989413126723309,0.0033579583613163196,1.2999316746690885,0.19543317662860982,0.2597940452205059,0.06818501335582736,0.005372733378106112,"[-0.1418793874091413, -0.08859880802986253, -0.09920419836269545]",0.033915379449294826,0.5087058303806534
anaphor,16,3429,main_s0_anaphor,0.5095424961287339,0.07871720116618076,0.7706806592976329,0.4037900874635568,0.6652089407191448,0.3793103448275862,0.09037900874635568,"[0.49878356656612133, 0.5159567504638487, 0.5138871713562319]",0.018437398571214108,0.0,1.2167462945786334,0.20505344995140914,0.2055393586005831,0.0006119951040391676,0.014577259475218658,"[0.0058939514425521145, 0.027273699108506966, 0.02214454516258324]",0.07580174927113703,0.4911050975575198,0.4553995028005376,0.06590842811315252,0.8209893260561447,0.3668708078156897,0.6157285894818704,0.3289823849955646,0.07290755322251385,"[0.41826740534457574, 0.4808870194485173, 0.4670440836085198]",-0.01389419525218405,0.0,1.237866229031983,0.20608535044230583,0.20647419072615922,0.0004897159647404506,0.009040536599591718,"[-0.01508884580334846, -0.016000873700863227, -0.01059286625234046]",0.06386701662292213,0.46929369805272164,0.41152236065950243,0.04331766286098052,0.9178758626059448,0.3173270651443922,0.5763375867472577,0.2831989247311828,0.04365345869711216,"[0.39359385866965835, 0.4630537912000712, 0.3779194321087779]",-0.01302155162132627,0.0,1.2457535437569698,0.20360420864114617,0.2039400044772778,0.00014058765640376775,0.0063801208865010076,"[-0.018004691562858666, -0.008005269657839431, -0.013054693643280713]",0.03727333781061115,0.4245439122808287
anaphor,20,3429,main_s0_anaphor,0.5395374510853664,0.10204081632653061,0.7564979803008982,0.4062196307094266,0.6671525753158406,0.3793103448275862,0.11807580174927114,"[0.5293193629580657, 0.5693755365869194, 0.5199174537111139]",0.013288552301436477,0.0,1.218237842026889,0.20602526724975703,0.20894071914480078,0.0,0.016034985422740525,"[0.0033802626309963335, 0.019527264069517547, 0.01695813020379555]",0.10204081632653061,0.52624889878393,0.47334012986879453,0.07203266258384369,0.7954347181615838,0.3881598133566638,0.6464469719062895,0.36674692687872257,0.08194808982210557,"[0.43261715992554595, 0.5142559409217841, 0.47314728875905365]",-0.016688114843197654,0.00029163021289005544,1.2396129055006266,0.20618256051326916,0.206960241080976,0.0006121449559255632,0.01079031787693205,"[-0.015468655828700273, -0.018949022083216915, -0.015646666617675775]",0.07115777194517352,0.4900282447119922,0.43829087219161833,0.061114842175957015,0.8817349222046912,0.34810835012312513,0.6198791134989926,0.33051075268817204,0.0661517797179315,"[0.4142110565888423, 0.4828753397226142, 0.4177862202633985]",-0.014364842452203671,0.0,1.2457681324105752,0.2037161405865234,0.20405193642265504,0.00042176296921130323,0.009738079247817328,"[-0.019056523746397103, -0.010031196848696577, -0.014006806761517332]",0.056413700470114174,0.452655714643822
anaphor,24,3429,main_s0_anaphor,0.5189479317441531,0.08163265306122448,0.7718586423828024,0.39601554907677355,0.6554907677356657,0.36802507836990594,0.09766763848396501,"[0.5026012879000352, 0.532136586951532, 0.5221059203808919]",0.01717679486281143,0.0,1.2168254958956926,0.2055393586005831,0.20894071914480078,0.0,0.01749271137026239,"[0.0047401759190954795, 0.020714112084704306, 0.0260760965846345]",0.08017492711370261,0.5017711368813417,0.46057662212241873,0.06357538641003208,0.8100115364257913,0.3783415961893652,0.6334208223972003,0.3562286148777088,0.0726159230096238,"[0.4218185110484296, 0.4902127408870901, 0.46969861443173644]",-0.01587714529188348,0.00029163021289005544,1.2396539182843003,0.2058909303003791,0.20618256051326916,0.0006121449559255632,0.011081948089822106,"[-0.018632654063700738, -0.012786393372827165, -0.016212388439122538]",0.0615339749198017,0.47645376741430223,0.4248831813395215,0.048354600402955,0.8970764801836044,0.334228788896351,0.6092455786881577,0.319489247311828,0.05439892545332438,"[0.3872591654647851, 0.48020080373626506, 0.4071895748175144]",-0.011627717558471806,0.0,1.2440469888800207,0.2039400044772778,0.20427580031340944,0.00042176296921130323,0.008730691739422432,"[-0.01797046763038157, -0.005624812907983889, -0.011287872137049959]",0.04566823371390195,0.4365108988979933
anaphor,28,3429,main_s0_anaphor,0.5055812585268967,0.06268221574344024,0.7830396867904765,0.3848396501457726,0.6438289601554907,0.36739811912225706,0.07142857142857142,"[0.5171278807038913, 0.5300401275576545, 0.4695757673191444]",0.011710710744587812,0.0014577259475218659,1.2192252654013422,0.206511175898931,0.20845481049562684,0.0006119951040391676,0.016034985422740525,"[0.0013510995089486277, 0.01553868304314543, 0.01824234968166938]",0.0553935860058309,0.49387054778230893,0.45031372804371833,0.060075823855351415,0.8244039528839608,0.3710508408671138,0.6210751433848547,0.33950069699657837,0.06765820939049286,"[0.42749040427032015, 0.48525122282042854, 0.43819955704040625]",-0.016210299626227442,0.0,1.2395737442407782,0.20540487994556236,0.20618256051326916,0.0004897159647404506,0.008748906386701663,"[-0.01443139891003109, -0.020137187788253685, -0.014062312180397551]",0.05890930300379119,0.4665240276699458,0.3938133755482182,0.03794492948287441,0.9340247781065345,0.3181105887620327,0.5800313409447057,0.29018817204301073,0.04197447951645399,"[0.37837535460406335, 0.477187730338291, 0.32587704170230025]",-0.013540033105763571,0.0,1.2450362879338104,0.2039400044772778,0.20427580031340944,0.00042176296921130323,0.006044325050369375,"[-0.01658313022305724, -0.0100391869128722, -0.013997782181361274]",0.03593015446608462,0.4073534086539818
anaphor,32,3429,main_s0_anaphor,0.4796952794801757,0.07580174927113703,0.8191925436946174,0.36443148688046645,0.5903790087463557,0.29968652037617555,0.08163265306122448,"[0.4900059178955706, 0.4856947413322279, 0.4633851792127287]",0.01338596822618554,0.0,1.217603043760096,0.2055393586005831,0.20699708454810495,0.0,0.016034985422740525,"[0.001859597489249687, 0.020339366157141936, 0.017958941032165]",0.06559766763848396,0.46630931125399017,0.4270684818431016,0.06124234470691164,0.85344224123032,0.3503450957519199,0.5707203266258385,0.273856291978203,0.0647419072615923,"[0.41060509214236784, 0.45501844709733197, 0.4155819062896049]",-0.016730175475610693,0.0,1.2390792462697753,0.20550209001652572,0.2058909303003791,0.0006121449559255632,0.009915427238261883,"[-0.016870649964313866, -0.01596720673976293, -0.017352669722755287]",0.05482648002333042,0.44379865731871226,0.3642707618896644,0.031229012760241773,0.970638885009114,0.2911349899261249,0.519140362659503,0.23413978494623655,0.0315648085963734,"[0.3434729739076188, 0.42465586224302676, 0.3246834495183476]",-0.01369361755120028,0.0,1.2446079015131257,0.20405193642265504,0.20461159614954108,0.00042176296921130323,0.0083948959032908,"[-0.016477347336589565, -0.008109041384229965, -0.01649446393278131]",0.023169912693082603,0.3779643794408647
anaphor,36,3429,main_s0_anaphor,0.4548699224596415,0.06997084548104957,0.8409020876850429,0.34791059280855197,0.5714285714285714,0.27147335423197494,0.07434402332361516,"[0.4647785908563673, 0.4562617908780786, 0.44356938564447845]",0.01040802109412183,0.0,1.2188260294879407,0.20602526724975703,0.20748299319727892,0.0,0.018950437317784258,"[-0.006760937743220952, 0.017797511800177634, 0.020187489225408806]",0.0553935860058309,0.44446190136551966,0.4049363215072672,0.04607757363662875,0.8733898849671328,0.336832895888014,0.552930883639545,0.26156380686858444,0.04928550597841937,"[0.3733681591431033, 0.44625032268668685, 0.3951904826920114]",-0.014576519747908264,0.0,1.2373043011733271,0.20598814037134247,0.20627977058423252,0.0009794319294809011,0.011956838728492273,"[-0.01853876196085924, -0.013268901516475085, -0.011921895766390467]",0.037328667249927096,0.41951284125517546,0.34421175041506546,0.02552048354600403,0.9884555685655607,0.2836355495858518,0.5019028430714125,0.2295698924731183,0.02552048354600403,"[0.30949120352386916, 0.42366417900587416, 0.29947986871545307]",-0.012484711144085928,0.0,1.243652123065733,0.20360420864114617,0.2038280725319006,0.00014058765640376775,0.008730691739422432,"[-0.020275497266291742, -0.005683534687312974, -0.01149510147865307]",0.0167897918065816,0.3566964615591514
