position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/axis_acc,random/task/sign_acc,random/task/nonzero_axis_acc,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/axis_acc,random/control/sign_acc,random/control/nonzero_axis_acc,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/axis_acc,cross_lexeme/task/sign_acc,cross_lexeme/task/nonzero_axis_acc,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/axis_acc,cross_lexeme/control/sign_acc,cross_lexeme/control/nonzero_axis_acc,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/axis_acc,lattice_holdout/task/sign_acc,lattice_holdout/task/nonzero_axis_acc,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/axis_acc,lattice_holdout/control/sign_acc,lattice_holdout/control/nonzero_axis_acc,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
last,0,3429,main_s0_last,-0.0028577227959788822,0.0,1.1899506018738706,0.2249757045675413,0.2249757045675413,0.0,0.013119533527696793,"[-0.002215904886183173, -0.001989305645085926, -0.004367957856667548]",-0.005152865460758142,0.0,1.2202184765633155,0.20602526724975703,0.20602526724975703,0.0,0.008746355685131196,"[-0.011791846484091595, -0.001193708616712419, -0.0024730412814704117]",0.004373177842565598,0.00229514266477926,-0.006147313364041507,0.0,1.1754723197348793,0.23291533002819093,0.23291533002819093,0.0,0.016622922134733157,"[-0.0015194781635221588, -0.009367129910337724, -0.007555332018264638]",-0.003519066212827715,0.0,1.224582052787999,0.20598814037134247,0.20598814037134247,0.0,0.004957713619130942,"[-0.0061269933696683765, -0.002569000142553346, -0.0018612051262614226]",0.011665208515602215,-0.0026282471512137917,-0.01831999005487746,0.0,1.295879645817247,0.16722632639355273,0.16722632639355273,0.0,0.0,"[-0.021348360700811586, -0.014683102470545828, -0.018928506993274974]",-0.002167841458078801,0.0,1.230728552753292,0.2038280725319006,0.2038280725319006,0.0,0.0036937541974479517,"[-0.003277909388074818, -0.0002613872372263515, -0.002964227748935233]",-0.0036937541974479517,-0.01615214859679866
last,4,3429,main_s0_last,0.6919526355747859,0.1618075801749271,0.6098300729696327,0.5029154518950437,0.7711370262390671,0.48213166144200625,0.18513119533527697,"[0.6811938380623614, 0.6869686605166707, 0.7076954081453257]",0.08661412135443051,0.018950437317784258,1.1552748077072066,0.24392614188532555,0.37366375121477163,0.12790697674418605,0.023323615160349854,"[0.04399002308848976, 0.1262629148779414, 0.08958942609686038]",0.1618075801749271,0.6053385142203555,0.5592642899525336,0.10294546515018956,0.72401791053329,0.4270438417420045,0.6998153008651696,0.4157901406665822,0.1131525226013415,"[0.513164167949006, 0.6031286671067868, 0.561500034801808]",-0.17591603170231776,0.006415864683581219,1.3174605043279048,0.206960241080976,0.2854087683484009,0.09573947110675808,0.008457276173811607,"[-0.16269980009385132, -0.16739748895710815, -0.19765080605599383]",0.10469524642752989,0.7351803216548514,0.5416142355662216,0.0849563465413029,0.7778735821572544,0.4057533019923886,0.7000223863890754,0.3919354838709677,0.09469442578912021,"[0.5066794650037181, 0.5930380705630627, 0.5251251711318837]",-0.179439051829659,0.0047011417058428475,1.3341038512558017,0.19252294604880232,0.2721065592119991,0.08308730493462674,0.0063801208865010076,"[-0.17258833132522633, -0.1659182697041739, -0.19981055445957674]",0.08831430490261921,0.7210532873958806
last,8,3429,main_s0_last,0.4526741019360414,0.0728862973760933,0.8364257977278026,0.3576287657920311,0.5840621963070942,0.2852664576802508,0.08163265306122448,"[0.4368310292541172, 0.43125043911796057, 0.48994083743604644]",0.024773505162203485,0.0,1.208920953724039,0.206511175898931,0.20845481049562684,0.0012239902080783353,0.018950437317784258,"[0.003833972473804348, 0.02934531806079388, 0.04114122495201222]",0.06268221574344023,0.4279005967738379,0.38347533577557474,0.04928550597841937,0.8840821394668766,0.335180324681637,0.5589579080392729,0.27347611202635913,0.05307669874599009,"[0.3379067370720714, 0.3960169765026893, 0.41650229375196357]",-0.010525041628009157,0.00029163021289005544,1.2356815318042569,0.20608535044230583,0.20666861086808594,0.0006121449559255632,0.011373578302712161,"[-0.020222403415320223, -0.006987164939472601, -0.004365556529234649]",0.041703120443277925,0.3940003774035839,0.34471428116916103,0.036937541974479515,0.9750878198657336,0.2961719274680994,0.5339153794492948,0.24986559139784947,0.03727333781061115,"[0.3077953918203431, 0.3625928062908511, 0.363754645396289]",-0.013697592548663243,0.0,1.245525112753478,0.20360420864114617,0.20405193642265504,0.00042176296921130323,0.008730691739422432,"[-0.020659699834214562, -0.00698917296029089, -0.013443904851484278]",0.02854264607118872,0.3584118737178243
last,12,3429,main_s0_last,0.5399785646798024,0.06997084548104957,0.7612621952789547,0.39310009718172984,0.6559766763848397,0.36990595611285265,0.07871720116618076,"[0.5553614195823191, 0.5763540292649452, 0.48822024519214313]",0.013096584241079587,0.0014577259475218659,1.218652056919753,0.20748299319727892,0.20748299319727892,0.0018359853121175031,0.011661807580174927,"[0.001202331809890933, 0.02282160794805055, 0.015265812965297276]",0.06705539358600583,0.5268819804387228,0.48178361632622674,0.06590842811315252,0.800025397466784,0.3801885875376689,0.6437250899193157,0.36028386769737675,0.0726159230096238,"[0.44718326679214715, 0.534810244637453, 0.46335733754908004]",-0.011372736067593925,0.0008748906386701663,1.2373057446495779,0.20598814037134247,0.20647419072615922,0.0007345739471106758,0.008748906386701663,"[-0.018370694328988968, -0.004759822218052934, -0.010987691655739873]",0.06386701662292214,0.49315635239382066,0.4484413359728201,0.050369375419744795,0.8775508265524522,0.3458697112155809,0.6249160510409671,0.32768817204301076,0.052048354600402955,"[0.4337231227435615, 0.5235219929679807, 0.38807889220691816]",-0.014280342811280619,0.000335795836131632,1.247030869383648,0.20427580031340944,0.20461159614954108,0.001124701251230142,0.007051712558764272,"[-0.02359952819133615, 0.0012264075691523768, -0.02046790781165808]",0.04499664204163868,0.4627216787841007
last,16,3429,main_s0_last,0.42706128968745855,0.048104956268221574,0.8665369467482159,0.3459669582118562,0.5748299319727891,0.28150470219435736,0.052478134110787174,"[0.416980569173093, 0.476740030326832, 0.3874632695624506]",0.010804971580109549,0.0,1.2199999335327387,0.20602526724975703,0.20602526724975703,0.0006119951040391676,0.01020408163265306,"[-0.008266320318512488, 0.024324181275697354, 0.016357053783143782]",0.042274052478134115,0.416256318107349,0.40618398583589305,0.045494313210848646,0.8748964472574517,0.3334305434042967,0.5649849324390007,0.27081485236345204,0.05220180810731992,"[0.3637490622528734, 0.470624103799424, 0.3841787914553816]",-0.010233213151566112,0.0,1.2366803363229038,0.20618256051326916,0.20647419072615922,0.0008570029382957884,0.008457276173811607,"[-0.013856000615407815, -0.007536271088421476, -0.009307367750869044]",0.043744531933508315,0.41641719898745916,0.37883687213937517,0.030557421087978508,0.9494769417978731,0.300761137228565,0.5622341616297292,0.2737903225806452,0.03089321692411014,"[0.3366733692701265, 0.47286342380488555, 0.32697382334311353]",-0.011583867850151197,0.0,1.2449175261243377,0.20416386836803224,0.20438773225878665,0.0007029382820188388,0.007723304231027535,"[-0.016702210048526567, -0.003268770347097494, -0.01478062315482953]",0.023169912693082606,0.39042073998952637
last,20,3429,main_s0_last,0.4307449760296463,0.05539358600583091,0.8637468407439218,0.3338192419825073,0.5602526724975705,0.2658307210031348,0.0597667638483965,"[0.3971318366250606, 0.48013440082456915, 0.4149686906393092]",0.0006831868592206783,0.0,1.2255241578531726,0.2055393586005831,0.20602526724975703,0.0,0.011661807580174927,"[-0.017246344048541307, 0.010773610463982508, 0.008522294162220834]",0.048104956268221574,0.4300617891704256,0.4127825889793488,0.04636920384951881,0.8710679502628473,0.33255565276562654,0.5583746476134928,0.26093017361551135,0.05220180810731992,"[0.36035235492698325, 0.47505527130959624, 0.4029401407014668]",-0.014439749132473331,0.0,1.2386548863000508,0.20598814037134247,0.20627977058423252,0.0008570029382957884,0.010498687664041995,"[-0.015274141846813416, -0.012995687328894556, -0.015049418221712019]",0.041703120443277925,0.4272223381118221,0.3673026065736173,0.028206850235057087,0.9698872056829101,0.2857622565480188,0.5240653682561003,0.2385752688172043,0.02921423774345198,"[0.32953034377445956, 0.44785602129653335, 0.3245214546498588]",-0.01671134317597141,0.0,1.2475317905738095,0.20349227669576897,0.2037161405865234,0.00042176296921130323,0.009738079247817328,"[-0.020553449904747723, -0.00795902520482139, -0.021621554418345124]",0.019476158495634652,0.3840139497495887
last,24,3429,main_s0_last,0.45116807559479727,0.05102040816326531,0.8493191520687993,0.34207968901846453,0.5835762876579204,0.27586206896551724,0.05539358600583091,"[0.39647482111427035, 0.49497455849492933, 0.46205484717519196]",0.01060064939635815,0.0,1.2196161240886623,0.20602526724975703,0.20748299319727892,0.0006119951040391676,0.014577259475218658,"[-0.00989759244216648, 0.025453859872294093, 0.016245680758946834]",0.04081632653061225,0.44056742619843914,0.4241828195133774,0.05016039661708953,0.8636411656245779,0.3339165937591134,0.5627491008068436,0.2611836269167406,0.055409740449110526,"[0.3531981892533991, 0.4869556329561804, 0.43239463633055275]",-0.015401008063040234,0.0,1.2383679334951352,0.20569651015845242,0.2058909303003791,0.0006121449559255632,0.014289880431612716,"[-0.0175510761094948, -0.013647124150994117, -0.015004823928631783]",0.04111986001749781,0.4395838275764176,0.3667095841264285,0.027535258562793822,0.9766424984487914,0.2805014551152899,0.5119767181553615,0.22701612903225807,0.028542646071188716,"[0.295747516541388, 0.44549740070185107, 0.3588838351360465]",-0.013694645163549271,0.0,1.24484431972843,0.20360420864114617,0.2038280725319006,0.0002811753128075355,0.009402283411685695,"[-0.024378852936505213, -0.0030374944596436304, -0.013667588094498972]",0.019140362659503023,0.3804042292899778
last,28,3429,main_s0_last,0.5099251070390283,0.05539358600583091,0.7711027074058561,0.4033041788143829,0.6671525753158406,0.38746081504702196,0.06705539358600583,"[0.4850238387752207, 0.5502626062273109, 0.49448887611455306]",0.009412797892258795,0.0014577259475218659,1.2186381029378281,0.20748299319727892,0.20942662779397472,0.0024479804161566705,0.018950437317784258,"[-0.004186346127223128, 0.019949625324100384, 0.01247511447989913]",0.048104956268221574,0.5005123091467695,0.48153800574254085,0.06386701662292213,0.7961592376384244,0.38436862058909305,0.6415864683581219,0.35356735521480165,0.07144940215806357,"[0.4024626247854288, 0.5524672031171889, 0.4896841893250048]",-0.016591952178230063,0.00029163021289005544,1.2393515129224906,0.20569651015845242,0.20598814037134247,0.0009794319294809011,0.013706620005832604,"[-0.015974606288542414, -0.01661077799062216, -0.017190472255525613]",0.05774278215223097,0.4981299579207709,0.41738550185770334,0.04264607118871726,0.8894104439917829,0.3444145959256772,0.6251399149317215,0.32446236559139785,0.04633982538616521,"[0.3113295155045245, 0.5242435797303002, 0.4165834103382854]",-0.013611777642901076,0.0,1.2457233603605842,0.2037161405865234,0.2039400044772778,0.00042176296921130323,0.007723304231027535,"[-0.018093458687789665, -0.005784781886051693, -0.01695709235486187]",0.038616521155137674,0.4309972795006044
last,32,3429,main_s0_last,0.5161207163707281,0.07434402332361516,0.7723217471851175,0.40864917395529643,0.6637512147716229,0.3887147335423197,0.08454810495626822,"[0.4867364770718544, 0.5859992106733354, 0.4756264613669944]",0.01627351290883557,0.0,1.2139281063478402,0.20699708454810495,0.20796890184645286,0.0012239902080783353,0.018950437317784258,"[0.004166152298100356, 0.03046867593927205, 0.014185710489134307]",0.06559766763848396,0.49984720346189254,0.4727182930875373,0.06765820939049286,0.8098439657677712,0.3726062020025275,0.628074268494216,0.3279685717906476,0.07611548556430446,"[0.4153483931124553, 0.5558518670126307, 0.446954619137526]",-0.018986388573081214,0.0,1.2400169275356836,0.20559930008748906,0.20579372022941578,0.0007345739471106758,0.013123359580052493,"[-0.017990974760750733, -0.014667210653227736, -0.024300980305265174]",0.06299212598425197,0.49170468166061854,0.4251847226473613,0.038616521155137674,0.9134286741895186,0.3184463845981643,0.5819341840161182,0.27190860215053764,0.04063129617192747,"[0.36055216344125507, 0.5390112549566102, 0.3759907495442185]",-0.015278959754558693,0.0,1.2456005839367352,0.20338034475039177,0.2037161405865234,0.0002811753128075355,0.009738079247817328,"[-0.016911854392490877, -0.0061759067021174285, -0.022749118169067772]",0.030893216924110144,0.44046368240191996
last,36,3429,main_s0_last,0.5733802053735031,0.08746355685131195,0.708602771249874,0.44363459669582117,0.7089407191448007,0.4263322884012539,0.09620991253644315,"[0.5643731000032037, 0.6388898313695046, 0.5168776847478009]",0.008325752452790621,0.016034985422740525,1.1929155491482317,0.2400388726919339,0.34742468415937805,0.12056303549571604,0.02040816326530612,"[-0.02206314120469366, 0.02810484584232187, 0.018935552720743654]",0.07580174927113703,0.5650544529207124,0.4708480400725234,0.07582385535141441,0.7989215552897388,0.3848546709439098,0.6486828035384465,0.3502724622988214,0.08398950131233596,"[0.4172677189923464, 0.5445915623766306, 0.450684838848593]",-0.1508851233332266,0.004957713619130942,1.3085338797554615,0.19908622533294448,0.26518907358802374,0.08251714005876591,0.00758238553514144,"[-0.13317007660468572, -0.16102933049614365, -0.15845596289885044]",0.07640711577719451,0.62173316340575,0.4339807197608963,0.05742108797850907,0.8702799427794855,0.35974927244235505,0.6424893664651892,0.33991935483870966,0.061114842175957015,"[0.35180244774595615, 0.5370584570627761, 0.4130812544739567]",-0.09332223590440503,0.0033579583613163196,1.2886890223541314,0.20226102529661966,0.24625027982986344,0.05651623787431464,0.008730691739422432,"[-0.10383310778861121, -0.07996829641337788, -0.09616530351122599]",0.052384150436534584,0.5273029556653013
