position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/axis_acc,random/task/sign_acc,random/task/nonzero_axis_acc,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/axis_acc,random/control/sign_acc,random/control/nonzero_axis_acc,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/axis_acc,cross_lexeme/task/sign_acc,cross_lexeme/task/nonzero_axis_acc,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/axis_acc,cross_lexeme/control/sign_acc,cross_lexeme/control/nonzero_axis_acc,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/axis_acc,lattice_holdout/task/sign_acc,lattice_holdout/task/nonzero_axis_acc,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/axis_acc,lattice_holdout/control/sign_acc,lattice_holdout/control/nonzero_axis_acc,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
last,0,762,sem_s0_last,-0.006908613176614731,0.0,0.8636573393360462,0.29193899782135074,0.579520697167756,0.44518272425249167,0.013071895424836602,"[-0.001991379331655496, -0.017204204441312543, -0.0015302557568761532]",-0.008539414685040233,0.0,0.8095953624232922,0.28322440087145967,0.6492374727668845,0.39755351681957185,0.0457516339869281,"[-0.0006950432405561369, -0.004527157155217676, -0.020396043659346885]",-0.0326797385620915,0.0016308015084255025,-0.05832168820708272,0.0,0.8659956515461128,0.23665791776027997,0.5004374453193351,0.3638268156424581,0.02099737532808399,"[-0.031083629412437475, -0.07654694850797061, -0.06733448670084008]",-0.032006153318842635,0.03937007874015748,0.8244941152195501,0.26290463692038496,0.5966754155730534,0.3519798868636078,0.08530183727034121,"[-0.03350959350074345, -0.04950155878853413, -0.013007307667250334]",-0.06430446194225722,-0.026315534888240087,-0.6778149390670295,0.0,1.021234262731823,0.17463933181473046,0.6324981017463933,0.17853922452660054,0.03644646924829157,"[-0.35043834695860676, -0.3334179476830632, -1.3495885225594186]",-0.06330316450466755,0.0,0.8218941816164855,0.2627182991647684,0.6059225512528473,0.3384615384615385,0.0774487471526196,"[-0.009505588059636638, -0.14851560286044196, -0.031888302593924056]",-0.041002277904328026,-0.614511774562362
last,4,762,sem_s0_last,0.7562472094099874,0.40522875816993464,0.36253733786882136,0.7581699346405228,0.8649237472766884,0.7574750830564784,0.7124183006535948,"[0.7309987504116882, 0.7485912658954181, 0.7891516119228559]",0.6059038832011403,0.27450980392156865,0.4622444895487725,0.6579520697167756,0.8257080610021786,0.6636085626911316,0.43137254901960786,"[0.5667773963373736, 0.6395535046724516, 0.6113807485935956]",0.28104575163398693,0.15034332620884705,-0.14358116360630835,0.048556430446194225,0.8292794112028099,0.36132983377077865,0.5568678915135608,0.31424581005586594,0.0984251968503937,"[-0.164701993065135, -0.2797418826404541, 0.01370038488666403]",-0.15710968680882575,0.04461942257217848,0.8557001047964067,0.2979002624671916,0.5787401574803149,0.34255185417976114,0.09055118110236221,"[-0.17663748548711244, -0.17061084072344013, -0.12408073421592469]",0.007874015748031496,0.013528523202517406,-1.017099333726125,0.009111617312072893,1.0448169106887704,0.25664388762338647,0.5413819286256644,0.2533814247069432,0.03416856492027335,"[-0.5249105968880357, -0.9617791094227741, -1.5646082948675648]",-0.1826850572508334,0.04783599088838269,0.855738101930173,0.30447987851176916,0.5975702353834472,0.3282051282051282,0.09111617312072894,"[-0.15106971389142632, -0.26454036215266696, -0.1324450957084069]",-0.056947608200455586,-0.8344142764752915
last,8,762,sem_s0_last,0.5768722309832824,0.20915032679738563,0.5023312357645928,0.6100217864923747,0.7843137254901961,0.574750830564784,0.3790849673202614,"[0.5039982444758926, 0.5974172505721945, 0.6292011979017602]",0.218950880499738,0.11764705882352941,0.6345490603535263,0.49019607843137253,0.7211328976034859,0.4648318042813456,0.30718954248366015,"[0.11034280721203615, 0.27552963512485884, 0.27098019916231897]",0.07189542483660127,0.35792135048354445,0.04941424870286223,0.06561679790026247,0.7783429856597074,0.3810148731408574,0.5879265091863517,0.36731843575418993,0.1115485564304462,"[-0.016781603703823533, 0.03688350020674058, 0.12814084960566963]",-0.3330813382476309,0.05249343832020997,0.8779131540424033,0.3416447944006999,0.5717410323709536,0.3570081709616593,0.09186351706036745,"[-0.41026038310735724, -0.34957053280676176, -0.2394130988287737]",0.019685039370078747,0.3824955869504931,-0.6909658273958273,0.004555808656036446,1.0028113742262101,0.25664388762338647,0.5899772209567198,0.24526600541027954,0.02733485193621868,"[-0.4900083094951133, -0.3790380995469451, -1.2038510731454237]",-0.3538460277076376,0.029612756264236904,0.9023806313696284,0.29157175398633256,0.571753986332574,0.3261538461538461,0.05694760820045558,"[-0.31736275686452875, -0.446035889437272, -0.2981394368211121]",-0.0296127562642369,-0.3371197996881897
last,12,762,sem_s0_last,0.46183450924729197,0.17647058823529413,0.5622223624087107,0.5424836601307189,0.710239651416122,0.5514950166112956,0.3006535947712418,"[0.37126907815091414, 0.44170880589202977, 0.5725256436989319]",0.11452709751852626,0.05228758169934641,0.7573171855317741,0.3572984749455338,0.7037037037037037,0.3853211009174312,0.0718954248366013,"[0.06316277122698566, 0.16523515533520827, 0.11518336599338486]",0.22875816993464052,0.3473074117287657,0.126263889100909,0.05774278215223097,0.7461208210946798,0.40769903762029747,0.615923009623797,0.38268156424581007,0.12992125984251968,"[0.02706499033437737, 0.14545356093617512, 0.20627311603217446]",-0.06437998188927267,0.05249343832020997,0.8324663878816945,0.2821522309711286,0.6045494313210849,0.3444374607165305,0.09711286089238845,"[-0.09674273131002287, -0.07374236455708427, -0.022654849800710863]",0.032808398950131226,0.19064387099018165,-0.6776386635516539,0.03189066059225513,0.9880184374506399,0.2862566438876234,0.6021260440394837,0.27412082957619477,0.08200455580865604,"[-0.45410791213857093, -0.34678938654176217, -1.2320186919746283]",-0.0725146331384993,0.04328018223234624,0.8238417756267814,0.2900531511009871,0.6180713743356112,0.3415384615384615,0.10022779043280182,"[-0.04076859213388784, -0.14607249972491831, -0.030702807556691747]",-0.01822323462414578,-0.6051240304131547
last,16,762,sem_s0_last,0.38680012922700696,0.17647058823529413,0.5860531992382474,0.5773420479302832,0.7363834422657952,0.5647840531561462,0.35294117647058826,"[0.1931138889884979, 0.4540595655911489, 0.5132269331013741]",0.0630906068129476,0.0457516339869281,0.772886911963066,0.3572984749455338,0.681917211328976,0.38837920489296635,0.06535947712418301,"[0.04977645465287328, 0.09210618119240921, 0.04738918459356034]",0.28758169934640526,0.32370952241405937,0.05744254899132798,0.06299212598425197,0.7598598283550141,0.4116360454943132,0.600174978127734,0.38966480446927376,0.13123359580052493,"[-0.07681013877750043, 0.07980245156097587, 0.1693353341905085]",-0.0884205180090983,0.030183727034120734,0.8427567016447415,0.2869641294838145,0.6036745406824147,0.35449402891263354,0.08792650918635171,"[-0.08825273749954254, -0.09226418979668649, -0.08474462673106586]",0.04330708661417322,0.14586306700042628,-0.6270388542280964,0.04328018223234624,0.9598518389142093,0.3234624145785877,0.6097190584662111,0.31199278629395855,0.07972665148063782,"[-0.49894549764524054, -0.2643053966312152, -1.1178656684078332]",-0.10588307896672637,0.02733485193621868,0.8392566616732511,0.2847380410022779,0.6135155656795748,0.3364102564102564,0.07517084282460136,"[-0.021670742116591146, -0.18143468166020327, -0.11454381312338469]",0.004555808656036456,-0.52115577526137
last,20,762,sem_s0_last,0.2681519267348664,0.09803921568627451,0.6480239175893123,0.48366013071895425,0.6688453159041394,0.46511627906976744,0.20915032679738563,"[0.19181091592932686, 0.2525404445633824, 0.3601044197118898]",0.07820834241287922,0.0457516339869281,0.7675812461277498,0.3464052287581699,0.6840958605664488,0.3577981651376147,0.06535947712418301,"[0.04381187496742589, 0.12120124548697886, 0.0696119067842329]",0.1437908496732026,0.18994358432198716,0.044703764403802526,0.08398950131233596,0.7548031748410181,0.4199475065616798,0.6045494313210849,0.4029329608938548,0.17060367454068243,"[-0.01559267115796703, 0.03209775477351584, 0.11760620959585877]",-0.06126041649379007,0.04199475065616798,0.8306923136832103,0.30183727034120733,0.6115485564304461,0.3670647391577624,0.08792650918635171,"[-0.07053978996382582, -0.07416208318570283, -0.03907937633184155]",0.08267716535433071,0.1059641808975926,-0.7755740080747776,0.04328018223234624,0.9922691201996242,0.2938496583143508,0.5770690964312832,0.27862939585211904,0.08200455580865604,"[-0.5299437334355324, -0.4207654422865479, -1.3760128485022527]",-0.09075382670537713,0.03416856492027335,0.8334459992593767,0.28929384965831434,0.6211085801063022,0.3333333333333333,0.07972665148063782,"[-0.0272960507246518, -0.18091211634639115, -0.06405331304508843]",0.002277904328018221,-0.6848201813694005
last,24,762,sem_s0_last,0.47524192757655115,0.1437908496732026,0.5571177953728403,0.5359477124183006,0.7363834422657952,0.5116279069767442,0.3137254901960784,"[0.3858033356441034, 0.5016034916217443, 0.5383189554638057]",0.06854788070656015,0.05228758169934641,0.7747158563994114,0.3420479302832244,0.6884531590413944,0.36085626911314983,0.08496732026143791,"[0.0654979496056386, 0.09951449519634359, 0.040631197317698264]",0.22875816993464052,0.406694046869991,0.10880230659386965,0.07742782152230972,0.7391772884109619,0.42782152230971127,0.6115485564304461,0.4099162011173184,0.14829396325459318,"[0.036901933674372556, 0.1050376676520387, 0.1844673184551977]",-0.06919498700741578,0.03412073490813648,0.8363806324915624,0.2887139107611549,0.6132983377077865,0.33940917661847897,0.08792650918635171,"[-0.06563098482099261, -0.08916306570152432, -0.05279091049973039]",0.06036745406824147,0.1779972936012854,-0.6398646665412148,0.03416856492027335,0.9615580778549183,0.2984054669703872,0.6127562642369021,0.28764652840396754,0.0888382687927107,"[-0.5186575587851168, -0.3303292871490149, -1.0706071536895125]",-0.08377368561338105,0.05239179954441914,0.8325092465522711,0.28929384965831434,0.6211085801063022,0.3261538461538461,0.09567198177676538,"[-0.006862743014315553, -0.17206898714033692, -0.0723893266854907]",-0.006833712984054677,-0.5560909809278337
last,28,762,sem_s0_last,0.5298003823438867,0.19607843137254902,0.5286993838862916,0.5882352941176471,0.7603485838779956,0.5780730897009967,0.35947712418300654,"[0.4427100295942049, 0.5901502162135694, 0.5565409012238857]",0.11865432986755735,0.0457516339869281,0.7525084294005416,0.3420479302832244,0.6753812636165577,0.3853211009174312,0.06535947712418301,"[0.10560479080643415, 0.13410517567788627, 0.11625302311835162]",0.29411764705882354,0.41114605247632935,0.17292783453878402,0.09317585301837271,0.7154093505790228,0.4409448818897638,0.63167104111986,0.43854748603351956,0.16010498687664043,"[0.1168610183064015, 0.15875613380530473, 0.24316635150464583]",-0.06982682192148941,0.04068241469816273,0.8355651730679673,0.2821522309711286,0.6032370953630796,0.34946574481458204,0.08661417322834646,"[-0.062303269692860264, -0.08140457584729854, -0.06577262022430941]",0.07349081364829398,0.24275465646027344,-0.5933234411524849,0.03416856492027335,0.9646076235068777,0.28018223234624146,0.6142748671222475,0.2660054102795311,0.06605922551252848,"[-0.4647450303379639, -0.2760264662108207, -1.0391988269086703]",-0.08758005648371192,0.0387243735763098,0.8315099182233905,0.29309035687167806,0.6271829916476841,0.3364102564102564,0.0888382687927107,"[-0.008713163178764693, -0.17696465337807754, -0.07706235289429353]",-0.022779043280182223,-0.505743384668773
last,32,762,sem_s0_last,0.5971307351975229,0.28104575163398693,0.47592408445406065,0.6209150326797386,0.7886710239651417,0.5913621262458472,0.45098039215686275,"[0.6185801295512448, 0.5778339322277761, 0.5949781438135477]",0.1437690534274052,0.058823529411764705,0.7378096954495299,0.3638344226579521,0.6884531590413944,0.40978593272171254,0.0784313725490196,"[0.1497656074778091, 0.14803809472749185, 0.13350345807691466]",0.37254901960784315,0.4533616817701177,0.1322607178544192,0.06955380577427822,0.738306093573153,0.410761154855643,0.6189851268591426,0.3959497206703911,0.13123359580052493,"[0.11617506710635817, 0.10398340904059189, 0.17662367741630758]",-0.27200968756074384,0.04461942257217848,0.8779991621172751,0.289588801399825,0.5743657042869641,0.33186675047140163,0.09317585301837271,"[-0.2224624016407739, -0.3242914640696135, -0.2692751969718441]",0.038057742782152224,0.404270405415163,-0.6839491333281907,0.018223234624145785,1.0008816939800547,0.25436598329536825,0.5876993166287016,0.23985572587917042,0.04328018223234624,"[-0.4757431734231301, -0.3159092432078048, -1.2601949833536374]",-0.08823866505321247,0.022779043280182234,0.8284615397498566,0.27942293090356873,0.6112376613515565,0.3323076923076923,0.08656036446469248,"[-0.004320583367877884, -0.19697075760529925, -0.06342465418646026]",-0.04328018223234624,-0.5957104682749783
last,36,762,sem_s0_last,0.6712913237692705,0.27450980392156865,0.4375672550113113,0.6339869281045751,0.803921568627451,0.6079734219269103,0.45098039215686275,"[0.6572355828056016, 0.646492294211759, 0.7101460942904507]",0.3295722878249262,0.19607843137254902,0.5718330425374648,0.5729847494553377,0.7799564270152506,0.5565749235474006,0.3333333333333333,"[0.3389262544137652, 0.33451760378765605, 0.31527300527335733]",0.11764705882352944,0.3417190359443443,0.060485534231062066,0.027559055118110236,0.7924387147902713,0.34951881014873143,0.584426946631671,0.35893854748603354,0.06299212598425197,"[0.0514201911787443, 0.0399169203434766, 0.0901194911709653]",-0.28662288711820394,0.04330708661417323,0.8823020564211322,0.3232720909886264,0.5669291338582677,0.35135135135135137,0.06824146981627296,"[-0.2928357703374349, -0.27866666636713466, -0.28836622465004225]",-0.005249343832020997,0.347108421349266,-0.6997759939662677,0.00683371298405467,1.0114242284584878,0.23006833712984054,0.5823842065299925,0.22272317403065825,0.02733485193621868,"[-0.39949871521193203, -0.3998122033442286, -1.3000170633426422]",-0.3298315248267398,0.03416856492027335,0.8673055047394203,0.31359149582384205,0.5626423690205011,0.3517948717948718,0.0774487471526196,"[-0.14038108003110628, -0.5204880135326808, -0.3286254809164322]",-0.05011389521640092,-0.3699444691395279
