position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/axis_acc,random/task/sign_acc,random/task/nonzero_axis_acc,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/axis_acc,random/control/sign_acc,random/control/nonzero_axis_acc,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/axis_acc,cross_lexeme/task/sign_acc,cross_lexeme/task/nonzero_axis_acc,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/axis_acc,cross_lexeme/control/sign_acc,cross_lexeme/control/nonzero_axis_acc,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/axis_acc,lattice_holdout/task/sign_acc,lattice_holdout/task/nonzero_axis_acc,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/axis_acc,lattice_holdout/control/sign_acc,lattice_holdout/control/nonzero_axis_acc,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
unit,0,762,sem_s0_unit,0.31964857642496286,0.39869281045751637,0.555672596352812,0.5337690631808278,0.644880174291939,0.6810631229235881,0.4117647058823529,"[0.3942524977984174, 0.3261758934660658, 0.23851733801040542]",0.2663594713884787,0.37254901960784315,0.5664330369636643,0.49019607843137253,0.7276688453159041,0.5229357798165137,0.38562091503267976,"[0.2551527504930804, 0.25771762882779614, 0.2862080348445596]",0.026143790849673165,0.05328910503648415,-0.07614848732808088,0.045931758530183726,0.8478144671790765,0.28390201224846895,0.5131233595800525,0.38687150837988826,0.07349081364829396,"[0.008773466610973113, -0.10309337523552387, -0.1341255533596919]",-0.21157727580526867,0.02230971128608924,0.8628946255015785,0.28127734033245844,0.6006124234470691,0.34255185417976114,0.05511811023622047,"[-0.24313952690698248, -0.20553467199710518, -0.18605762851171836]",0.01837270341207349,0.13542878847718778,-0.7172971227833757,0.0,1.0340536171365347,0.22854973424449507,0.642369020501139,0.24797114517583407,0.03644646924829157,"[-0.39345753761413205, -0.28679876232414214, -1.4716350684118527]",-0.14421908103238903,0.03644646924829157,0.8466585136174974,0.29233105542900534,0.6271829916476841,0.3405128205128205,0.05694760820045558,"[-0.111882996484862, -0.23317886746318894, -0.08759537914911619]",-0.02050113895216401,-0.5730780417509866
unit,4,762,sem_s0_unit,0.9939032622418758,1.0,0.052621003654268056,1.0,1.0,1.0,1.0,"[0.9934322851488951, 0.9929058945694248, 0.9953716070073072]",0.9736884186953111,0.9673202614379085,0.09273578288248681,0.9869281045751634,0.9912854030501089,0.9938837920489296,0.9934640522875817,"[0.986387773279828, 0.9738817171087014, 0.960795765697404]",0.006535947712418277,0.020214843546564665,0.026139026540204096,0.009186351706036745,0.8221033278099821,0.29483814523184604,0.5516185476815398,0.3777932960893855,0.04330708661417323,"[0.04490946284152786, -0.00844261544652758, 0.041950232225612005]",-0.11547008534488379,0.04068241469816273,0.8512368103520243,0.2795275590551181,0.5936132983377078,0.3387806411062225,0.0984251968503937,"[-0.08742168729011923, -0.14856700899521824, -0.11042155974931389]",-0.05511811023622048,0.14160911188508787,-0.5857290064205102,0.0,0.9883163646033251,0.2733485193621868,0.6962794229309036,0.2939585211902615,0.04783599088838269,"[-0.36846366334631475, -0.2609299580004285, -1.1277933979147874]",-0.16474406884909862,0.011389521640091117,0.8496848889029017,0.2611996962794229,0.5846621108580107,0.31384615384615383,0.0774487471526196,"[0.018410721866027102, -0.33242658691672644, -0.1802163414965965]",-0.029612756264236907,-0.42098493757141153
unit,8,762,sem_s0_unit,0.9731725303011269,0.9477124183006536,0.10423544386892797,0.9825708061002179,0.9847494553376906,0.9933554817275747,0.9869281045751634,"[0.9691786749584481, 0.9696411814270307, 0.980697734517902]",0.9300318079649549,0.8823529411764706,0.15955417569166694,0.9455337690631809,0.9694989106753813,0.9418960244648318,0.9607843137254902,"[0.9475940605613192, 0.9066838382120115, 0.935817525121534]",0.02614379084967322,0.043140722336172055,0.12109886272077097,0.07349081364829396,0.7703020008230356,0.38232720909886264,0.621172353455818,0.3973463687150838,0.10236220472440945,"[0.048130584332321535, 0.14627185571010637, 0.168894148119885]",-0.09471127251856067,0.04199475065616798,0.8472397250896573,0.2742782152230971,0.5883639545056868,0.3519798868636078,0.08792650918635171,"[-0.10010260600471566, -0.11136432173186517, -0.07266688981910119]",0.014435695538057736,0.21581013523933162,-0.5966145568131266,0.02733485193621868,0.9873476301121187,0.2824601366742597,0.6332574031890661,0.2723174030658251,0.1252847380410023,"[-0.4454113574850693, -0.21344691676758787, -1.1309853961867224]",-0.12991263886182428,0.03189066059225513,0.8426917265017284,0.2589217919514047,0.5968109339407744,0.29333333333333333,0.07289293849658314,"[-0.011683281333937812, -0.25732500792582447, -0.12072962732571058]",0.05239179954441915,-0.46670191795130234
unit,12,762,sem_s0_unit,0.9285322399861933,0.8366013071895425,0.18088163821785538,0.9411764705882353,0.9694989106753813,0.946843853820598,0.9084967320261438,"[0.9118880761202106, 0.926978175131577, 0.9467304687067921]",0.7842516584833525,0.6143790849673203,0.30703105983651025,0.8213507625272332,0.9172113289760349,0.8165137614678899,0.7843137254901961,"[0.7336957690251924, 0.8247714192306379, 0.7942877871942271]",0.12418300653594772,0.14428058150284073,0.06573371275300721,0.03280839895013123,0.8039489307897923,0.3333333333333333,0.583989501312336,0.3777932960893855,0.06430446194225722,"[0.03987616848592235, 0.0744629282644329, 0.08286204150866638]",-0.2066155936490628,0.031496062992125984,0.8643193261686481,0.31977252843394577,0.584426946631671,0.3670647391577624,0.07349081364829396,"[-0.2672058893214586, -0.20250397473670434, -0.15013691688902542]",-0.009186351706036738,0.27234930640207,-0.7371507599531383,0.011389521640091117,1.0242858096878005,0.24829157175398633,0.6446469248291572,0.24526600541027954,0.04783599088838269,"[-0.6733187580223794, -0.2757681698970498, -1.2623653519399856]",-0.30789602791035336,0.015945330296127564,0.8887789028222215,0.28170083523158695,0.5846621108580107,0.3230769230769231,0.05922551252847381,"[-0.18573055328374233, -0.42010034588372713, -0.3178571845635907]",-0.011389521640091119,-0.4292547320427849
unit,16,762,sem_s0_unit,0.9006634537941253,0.7450980392156863,0.20646140726043768,0.8976034858387799,0.9237472766884531,0.9169435215946844,0.8562091503267973,"[0.9210692451703502, 0.877184366445125, 0.9037367497669009]",0.6484477010207975,0.3660130718954248,0.38821364780137224,0.7080610021786492,0.8649237472766884,0.6880733944954128,0.6209150326797386,"[0.648589505927694, 0.6481254950263792, 0.6486281021083196]",0.23529411764705876,0.25221575277332775,0.10326733458576083,0.06167979002624672,0.7797145270795438,0.3810148731408574,0.6185476815398075,0.38687150837988826,0.09711286089238845,"[0.06591168669631264, 0.13817599676941994, 0.10571432029154992]",-0.411993805496151,0.03543307086614173,0.9221541185130806,0.31627296587926507,0.5651793525809273,0.33500942803268385,0.06692913385826772,"[-0.49438579703386587, -0.39938870661184467, -0.3422069128427425]",0.030183727034120728,0.5152611400819118,-0.736428095581824,0.018223234624145785,1.0201316365891546,0.2513287775246773,0.6173120728929385,0.23624887285843102,0.03644646924829157,"[-0.45589593633980785, -0.33328851635272216, -1.4200998340529423]",-0.41292057590036,0.0387243735763098,0.9125462075300803,0.29081245254365984,0.574791192103265,0.3323076923076923,0.0683371298405467,"[-0.22683680659965955, -0.5848090857387971, -0.42711583536262343]",-0.03189066059225513,-0.32350751968146396
unit,20,762,sem_s0_unit,0.8765449233643879,0.6601307189542484,0.2444676347807342,0.8496732026143791,0.8997821350762527,0.8604651162790697,0.8235294117647058,"[0.8570429028768123, 0.8814797217253659, 0.8911121454909856]",0.6346168951432261,0.39869281045751637,0.40273754509705606,0.7145969498910676,0.869281045751634,0.7064220183486238,0.5882352941176471,"[0.6858948203454045, 0.64709425540849, 0.5708616096757836]",0.23529411764705876,0.24192802822116188,0.14462643679165546,0.05905511811023622,0.7556253841451563,0.39282589676290464,0.626421697287839,0.38687150837988826,0.11548556430446194,"[0.11296575076368431, 0.16808737023947262, 0.15282618937180947]",-0.4306693588221044,0.03543307086614173,0.9134980861752677,0.3092738407699038,0.5559930008748907,0.3262099308610937,0.08136482939632546,"[-0.3867886073571578, -0.45421665016623947, -0.45100281894291583]",0.03412073490813648,0.5752957956137599,-0.6901434727812971,0.022779043280182234,1.0082731811314165,0.25968109339407747,0.6309794988610479,0.2569882777276826,0.06605922551252848,"[-0.5061497421009729, -0.3286766664905756, -1.2356040097523424]",-0.39801044942234814,0.029612756264236904,0.8789979415290177,0.32801822323462415,0.5740318906605922,0.35794871794871796,0.07061503416856492,"[-0.21582166082260112, -0.5647845710554795, -0.41342511638896373]",-0.004555808656036442,-0.2921330233589489
unit,24,762,sem_s0_unit,0.8975788844842411,0.738562091503268,0.22208095707145392,0.8867102396514162,0.9150326797385621,0.8970099667774086,0.8496732026143791,"[0.9004942380308234, 0.8917653154422236, 0.900477099979676]",0.6944787041126452,0.40522875816993464,0.3643861432480656,0.7429193899782135,0.8867102396514162,0.7400611620795107,0.6535947712418301,"[0.6460967322744176, 0.7001388502334277, 0.7372005298300905]",0.196078431372549,0.20310018037159583,0.13651688698404943,0.08398950131233596,0.7535311316293994,0.39588801399825024,0.6150481189851269,0.4420391061452514,0.14435695538057744,"[0.17579355936532848, 0.13437427699660232, 0.09938282459021752]",-0.31275654311547796,0.028871391076115485,0.8832628745862714,0.31671041119860016,0.5717410323709536,0.3632935260842238,0.06955380577427822,"[-0.2495032177938563, -0.32670768729800725, -0.3620587242545703]",0.07480314960629922,0.44927343009952736,-0.6870261316448879,0.009111617312072893,1.0127852116580613,0.23158694001518604,0.6233864844343204,0.2272317403065825,0.04783599088838269,"[-0.3509045724699149, -0.3472505286739025, -1.3629232937908466]",-0.3498633397562217,0.03416856492027335,0.8929379365732929,0.3067577828397874,0.5770690964312832,0.3323076923076923,0.0683371298405467,"[-0.20780819728905886, -0.4205812904320785, -0.4212005315475278]",-0.02050113895216401,-0.3371627918886662
unit,28,762,sem_s0_unit,0.9224559065269693,0.803921568627451,0.19163662850986637,0.9193899782135077,0.954248366013072,0.9102990033222591,0.8823529411764706,"[0.9240559257792081, 0.9211492585797836, 0.9221625352219164]",0.7566485558769213,0.5359477124183006,0.332591645208579,0.7908496732026143,0.9106753812636166,0.7737003058103975,0.6993464052287581,"[0.7308658581481878, 0.8132621940638849, 0.7258176154186913]",0.18300653594771243,0.16580735065004804,0.04221365388511108,0.031496062992125984,0.8085452949372385,0.3416447944006999,0.5778652668416447,0.38687150837988826,0.08267716535433071,"[0.07008689208863161, 0.062043608223606106, -0.005489538656904491]",-0.2677580590952406,0.028871391076115485,0.8818240071518945,0.30533683289588803,0.5761154855643045,0.3450659962287869,0.06430446194225722,"[-0.20259116429733415, -0.27112944123033555, -0.329553571758052]",0.01837270341207349,0.30997171298035164,-0.7801133912443076,0.015945330296127564,1.0481730074753974,0.19286256643887623,0.5702353834472286,0.1848512173128945,0.03644646924829157,"[-0.4417597750300315, -0.47493606873341165, -1.4236443299694796]",-0.3441591026777509,0.029612756264236904,0.9005304067286019,0.29157175398633256,0.5831435079726651,0.3076923076923077,0.06605922551252848,"[-0.13853484185488707, -0.4472395125976143, -0.4467029535807514]",-0.029612756264236907,-0.43595428856655666
unit,32,762,sem_s0_unit,0.8678300733929812,0.7124183006535948,0.24063508469035164,0.8714596949891068,0.9019607843137255,0.893687707641196,0.8300653594771242,"[0.8609549152008233, 0.8720389884984352, 0.8704963164796853]",0.7011144982260484,0.48366013071895425,0.351025997488587,0.775599128540305,0.8888888888888888,0.7584097859327217,0.738562091503268,"[0.6820628286030368, 0.7531043300977973, 0.668176335977311]",0.09150326797385622,0.1667155751669328,0.022520425790395666,0.03937007874015748,0.81365612302422,0.347331583552056,0.5743657042869641,0.3819832402234637,0.08267716535433071,"[0.027174241007277056, 0.035052179439312714, 0.005334856924597231]",-0.33654468808552357,0.04330708661417323,0.8967834117375021,0.3110236220472441,0.5669291338582677,0.3419233186675047,0.06955380577427822,"[-0.27886451758331554, -0.3159064183737528, -0.41486312829950234]",0.013123359580052493,0.3590651138759192,-0.6991341504866838,0.022779043280182234,1.0274031464810975,0.2217160212604404,0.5861807137433561,0.19837691614066727,0.05011389521640091,"[-0.47588260571850083, -0.3359661472597144, -1.285553698481836]",-0.40576954856394515,0.04783599088838269,0.9127204474415305,0.29309035687167806,0.5649202733485194,0.3046153846153846,0.07517084282460136,"[-0.2373833706698083, -0.4673241947038289, -0.5126010803181982]",-0.02505694760820045,-0.29336460192273867
unit,36,762,sem_s0_unit,0.8175923467632927,0.6601307189542484,0.27639410743786097,0.8387799564270153,0.8932461873638344,0.8504983388704319,0.7777777777777778,"[0.7805748544828365, 0.8344455315030654, 0.8377566543039763]",0.5932562591397544,0.33986928104575165,0.45319258783637567,0.673202614379085,0.8387799564270153,0.6483180428134556,0.45751633986928103,"[0.5509891052476298, 0.607378929426333, 0.6214007427453008]",0.32026143790849676,0.2243360876235383,0.1149514616111222,0.08398950131233596,0.7558528417403617,0.40857392825896766,0.6146106736657918,0.3973463687150838,0.14173228346456693,"[0.09470126429255643, 0.15605171434616782, 0.09410140619464236]",-0.09866611552386721,0.05643044619422572,0.8340677213272502,0.3123359580052493,0.6036745406824147,0.3727215587680704,0.09580052493438321,"[-0.08080599438560787, -0.13616473425261955, -0.0790276179333742]",0.04593175853018372,0.2136175771349894,-0.594912959017077,0.011389521640091117,0.9901415410373097,0.2604403948367502,0.639331814730448,0.2497745716862038,0.04100227790432802,"[-0.5238944868257636, -0.28425529501897695, -0.9765890952064904]",-0.15762300711162514,0.04555808656036447,0.8524711872016107,0.2877752467729689,0.6059225512528473,0.3302564102564103,0.08656036446469248,"[-0.05529317954091373, -0.26364936041770437, -0.1539264813762573]",-0.04555808656036446,-0.43728995190545183
