position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/axis_acc,random/task/sign_acc,random/task/nonzero_axis_acc,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/axis_acc,random/control/sign_acc,random/control/nonzero_axis_acc,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/axis_acc,cross_lexeme/task/sign_acc,cross_lexeme/task/nonzero_axis_acc,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/axis_acc,cross_lexeme/control/sign_acc,cross_lexeme/control/nonzero_axis_acc,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/axis_acc,lattice_holdout/task/sign_acc,lattice_holdout/task/nonzero_axis_acc,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/axis_acc,lattice_holdout/control/sign_acc,lattice_holdout/control/nonzero_axis_acc,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
value,0,762,sem_s0_value,-0.01280006026140775,0.006535947712418301,0.8475207981850327,0.2984749455337691,0.5686274509803921,0.3654485049833887,0.0196078431372549,"[-0.05615995966776999, -0.027632841379480633, 0.04539262026302737]",-0.011643003051905465,0.0,0.8118426626414256,0.29411764705882354,0.6601307189542484,0.38837920489296635,0.0457516339869281,"[-8.457452829557788e-05, 0.0006529271643440637, -0.03549736179176488]",-0.0261437908496732,-0.0011570572095022848,-0.09575054736120547,0.010498687664041995,0.8662358981378748,0.2690288713910761,0.5174978127734033,0.3435754189944134,0.03937007874015748,"[-0.06244348138754141, -0.1392515454380543, -0.08555661525802072]",-0.03346261591941587,0.03674540682414698,0.8248636966484842,0.2677165354330709,0.6010498687664042,0.3532369578881207,0.08661417322834646,"[-0.03571489679664941, -0.044996723675039485, -0.019676227286558712]",-0.047244094488188976,-0.0622879314417896,-0.7337819521292516,0.011389521640091117,1.0220184652933861,0.23386484434320426,0.6097190584662111,0.23624887285843102,0.03416856492027335,"[-0.3914054492781378, -0.3599864121968628, -1.4499539949127542]",-0.062421629569928395,0.009111617312072893,0.8221233223049407,0.25664388762338647,0.5998481397114654,0.3230769230769231,0.0774487471526196,"[-0.008073752639637943, -0.14646282021441315, -0.0327283158557341]",-0.04328018223234625,-0.6713603225593232
value,4,762,sem_s0_value,-0.0006704246499781666,0.0,0.8592434781309306,0.29193899782135074,0.579520697167756,0.4418604651162791,0.013071895424836602,"[-0.0015867729131555652, -0.012670150184498352, 0.012245649147719417]",-0.014808034350933882,0.0,0.813000328660271,0.28322440087145967,0.6492374727668845,0.39755351681957185,0.0457516339869281,"[-0.00992813257526648, -0.008264704183754246, -0.02623126629378092]",-0.0326797385620915,0.014137609700955716,-0.0639644520761596,0.0026246719160104987,0.8659482031591296,0.2432195975503062,0.5034995625546806,0.3393854748603352,0.031496062992125984,"[-0.05002894901963595, -0.0812323265007282, -0.060632080708114655]",-0.029117037916733146,0.031496062992125984,0.8230814254946179,0.2747156605424322,0.6084864391951006,0.3714644877435575,0.08530183727034121,"[-0.03353374824127098, -0.041772723504594156, -0.012044642004334305]",-0.05380577427821523,-0.03484741415942645,-0.7065942264311276,0.00683371298405467,1.0244895571909263,0.21108580106302202,0.6355353075170843,0.2308385933273219,0.05239179954441914,"[-0.4168904704420231, -0.39389826662628646, -1.3089939422250731]",-0.06443252649523612,0.002277904328018223,0.8231759911110298,0.25816249050873197,0.6013667425968109,0.3312820512820513,0.0774487471526196,"[-0.012994212417162254, -0.14902345083542934, -0.03127991623311677]",-0.02505694760820046,-0.6421616999358915
value,8,762,sem_s0_value,-0.0014395145454600595,0.006535947712418301,0.8433325090699206,0.3093681917211329,0.5860566448801743,0.3488372093023256,0.026143790849673203,"[0.007202321717826643, -0.03621329907393811, 0.024692433719731288]",-0.01164532947065052,0.0,0.8124248616575935,0.28322440087145967,0.6492374727668845,0.39755351681957185,0.0457516339869281,"[-0.00889219023572796, -0.005936845354995723, -0.020106952821227875]",-0.019607843137254898,0.01020581492519046,-0.05077926813418491,0.013123359580052493,0.8570993165905185,0.2541557305336833,0.5048118985126859,0.329608938547486,0.031496062992125984,"[-0.0217660978064409, -0.07524714325439641, -0.055324563341717425]",-0.03300153795372222,0.027559055118110236,0.8244301246402562,0.27340332458442695,0.6071741032370953,0.3714644877435575,0.08530183727034121,"[-0.03579258968076959, -0.0498729750032505, -0.013339049177146567]",-0.05380577427821523,-0.017777730180462692,-0.6740835537608726,0.015945330296127564,1.0076615380896885,0.23766135155656795,0.6233864844343204,0.24436429215509467,0.04328018223234624,"[-0.38483535449269923, -0.3598552663874883, -1.27756004040243]",-0.06560957675349877,0.002277904328018223,0.8235204923578348,0.2536066818526955,0.5968109339407744,0.3251282051282051,0.0774487471526196,"[-0.013011290752914961, -0.15439467044627797, -0.029422769061303367]",-0.034168564920273356,-0.6084739770073738
value,12,762,sem_s0_value,0.01749488303194709,0.0196078431372549,0.8365410885130398,0.3028322440087146,0.579520697167756,0.34219269102990035,0.0392156862745098,"[-0.031255236720159285, 0.019451309378915815, 0.06428857643708474]",-0.007370140915870109,0.0,0.8103445273598814,0.28104575163398693,0.6470588235294118,0.3944954128440367,0.0457516339869281,"[-0.0010994764073728458, -0.0033166099654680092, -0.01769433637476947]",-0.006535947712418298,0.0248650239478172,-0.04986732263293381,0.015748031496062992,0.8542264938380566,0.27077865266841644,0.5196850393700787,0.3240223463687151,0.03543307086614173,"[-0.03258651426341963, -0.07116346228255899, -0.04585199135282281]",-0.031559434032073286,0.031496062992125984,0.824705781807841,0.27165354330708663,0.605424321959755,0.3670647391577624,0.08530183727034121,"[-0.03406200788185254, -0.04722801761361928, -0.01338827660074804]",-0.04986876640419948,-0.018307888600860522,-0.6767050778997229,0.004555808656036446,1.0112097548460905,0.22323462414578588,0.6203492786636294,0.23264201983769162,0.04100227790432802,"[-0.3841022914429757, -0.36990594045830294, -1.2761070017978904]",-0.06331564063316024,0.004555808656036446,0.8224861183760287,0.2611996962794229,0.6044039483675019,0.3343589743589744,0.0774487471526196,"[-0.009335208222205571, -0.14989188436732226, -0.030719829309952873]",-0.03644646924829158,-0.6133894372665627
value,16,762,sem_s0_value,-0.004287050190281009,0.006535947712418301,0.847659078493617,0.28540305010893247,0.5555555555555556,0.34219269102990035,0.026143790849673203,"[-0.05146647485869704, -0.00027624882366006354, 0.03888157311151408]",-0.009376413152679822,0.006535947712418301,0.8102915875272814,0.28540305010893247,0.6514161220043573,0.39755351681957185,0.0457516339869281,"[0.0021674456026021804, -0.007515043476175931, -0.022781641584465717]",-0.019607843137254898,0.005089362962398813,-0.0632983703204039,0.005249343832020997,0.8622888811095597,0.24146981627296588,0.4969378827646544,0.32472067039106145,0.026246719160104987,"[-0.04431652635796879, -0.09253277838509044, -0.05304580621815247]",-0.030794011585246084,0.03280839895013123,0.8242878347165942,0.2699037620297463,0.6036745406824147,0.36580766813324955,0.08530183727034121,"[-0.030107190135669315, -0.05004890050588595, -0.012225944114182985]",-0.05905511811023623,-0.03250435873515782,-0.6861567202003735,0.00683371298405467,1.0114742383847386,0.2308276385725133,0.6241457858769932,0.23985572587917042,0.03644646924829157,"[-0.4053332821982978, -0.3903560250874092, -1.2627808533154137]",-0.06102129782372886,0.00683371298405467,0.8214962199137984,0.25816249050873197,0.6013667425968109,0.3282051282051282,0.0774487471526196,"[-0.006009829370804853, -0.14798800719253413, -0.02906605690784758]",-0.041002277904328026,-0.6251354223766447
value,20,762,sem_s0_value,0.0003896770732123948,0.0,0.8588018651751391,0.29193899782135074,0.579520697167756,0.4418604651162791,0.013071895424836602,"[0.0013299568229344638, -0.011987265387635171, 0.011826339784337891]",-0.011453394002206426,0.0,0.8110432826745484,0.28540305010893247,0.6514161220043573,0.39755351681957185,0.0457516339869281,"[-4.0628225545402685e-05, -0.008506125025649736, -0.02581342875542414]",-0.0326797385620915,0.01184307107541882,-0.06267429794333346,0.0013123359580052493,0.866703072896884,0.24278215223097113,0.5039370078740157,0.35335195530726254,0.026246719160104987,"[-0.04652915709387018, -0.07815404901590783, -0.06333968772022236]",-0.03251904799414632,0.03412073490813648,0.8246717789876075,0.27384076990376205,0.6076115485564304,0.3702074167190446,0.08398950131233596,"[-0.03010935490158828, -0.04879537749045637, -0.018652411590394324]",-0.05774278215223097,-0.030155249949187134,-0.7362382662259792,0.002277904328018223,1.0261965610805386,0.21867881548974943,0.5990888382687927,0.23354373309287646,0.05466970387243736,"[-0.45542752477526216, -0.4288715135226866, -1.3244157603799889]",-0.06532804644575989,0.0,0.8229263707735182,0.2536066818526955,0.5968109339407744,0.3261538461538461,0.0774487471526196,"[-0.008090625082426417, -0.15199892899069933, -0.0358945852641539]",-0.022779043280182237,-0.6709102197802194
value,24,762,sem_s0_value,0.0023340386954935344,0.0,0.8585793825925565,0.289760348583878,0.5773420479302832,0.4418604651162791,0.013071895424836602,"[0.004768492671984759, -0.008883530552220797, 0.011117153966716642]",-0.008770360480659748,0.0,0.8098588813104401,0.28540305010893247,0.6514161220043573,0.39755351681957185,0.0457516339869281,"[0.002399219261135177, -0.005254084641952872, -0.02345621606116155]",-0.0326797385620915,0.011104399176153282,-0.06151261912525648,0.010498687664041995,0.8616100225861617,0.23709536307961504,0.49518810148731407,0.3344972067039106,0.028871391076115485,"[-0.036354742033757326, -0.09203502398291397, -0.05614809135909815]",-0.03117582140716091,0.03280839895013123,0.8243231142000055,0.27602799650043747,0.6097987751531059,0.37209302325581395,0.08136482939632546,"[-0.032202886189914404, -0.04692284703074878, -0.01440173100081954]",-0.05249343832020997,-0.030336797718095575,-0.724031204541137,0.009111617312072893,1.0222076256685213,0.21108580106302202,0.6036446469248291,0.2200180342651037,0.05011389521640091,"[-0.40837378335101726, -0.418587674384002, -1.345132155888392]",-0.0659391280774601,0.002277904328018223,0.8230760550308879,0.25816249050873197,0.6013667425968109,0.3323076923076923,0.0774487471526196,"[-0.008656115878174608, -0.1532462685163838, -0.03591499983782187]",-0.027334851936218686,-0.658092076463677
value,28,762,sem_s0_value,0.0021262964745547195,0.0,0.8582451370806475,0.29193899782135074,0.579520697167756,0.44518272425249167,0.013071895424836602,"[0.004465415693779673, -0.00918541157357522, 0.011098885303459705]",-0.005373420413254171,0.0,0.8090788457128737,0.28322440087145967,0.6492374727668845,0.39755351681957185,0.0457516339869281,"[-0.0014802672710858555, 0.001150616526849224, -0.01579061049552588]",-0.0326797385620915,0.007499716887808891,-0.06222470138191549,0.003937007874015748,0.8631199620083978,0.24453193350831146,0.5026246719160105,0.3400837988826816,0.028871391076115485,"[-0.05211534365852688, -0.07996843312727053, -0.054590327359949065]",-0.02826851036408695,0.03543307086614173,0.8233782355319171,0.27077865266841644,0.6045494313210849,0.36580766813324955,0.08398950131233596,"[-0.03277292600771364, -0.0409857290831217, -0.01104687600142551]",-0.05511811023622047,-0.03395619101782854,-0.6850328633885076,0.011389521640091117,1.0131928948353164,0.23917995444191345,0.6180713743356112,0.2497745716862038,0.06378132118451026,"[-0.45749911821470923, -0.3365122197192092, -1.2610872522316043]",-0.06261666134746369,0.002277904328018223,0.8225469547143558,0.25740318906605925,0.6006074411541382,0.3312820512820513,0.0774487471526196,"[-0.010428117082540211, -0.14879411146162713, -0.028627755498223717]",-0.01366742596810934,-0.6224162020410439
value,32,762,sem_s0_value,0.001742062035498278,0.0,0.8592737666402247,0.29411764705882354,0.5816993464052288,0.44518272425249167,0.013071895424836602,"[0.004134518160269662, -0.00871985770176864, 0.009811525647993813]",-0.011599952794129361,0.0,0.8096995871181322,0.28104575163398693,0.6470588235294118,0.3944954128440367,0.0457516339869281,"[-0.0007369528178495788, -0.008520003405224186, -0.025542902159314318]",-0.0326797385620915,0.01334201482962764,-0.06789170606014731,0.0026246719160104987,0.866728089938848,0.24190726159230097,0.5013123359580053,0.3400837988826816,0.027559055118110236,"[-0.06521924833182213, -0.08318489558401398, -0.05527097426460581]",-0.030545818074107906,0.028871391076115485,0.8237113717320919,0.2672790901137358,0.6010498687664042,0.3632935260842238,0.08398950131233596,"[-0.03261094831146716, -0.04652374166048223, -0.012502764250374332]",-0.05643044619422572,-0.03734588798603941,-0.67055194307954,0.015945330296127564,1.0123532139494642,0.24145785876993167,0.6340167046317388,0.2533814247069432,0.05466970387243736,"[-0.46132613993574956, -0.3317257527123252, -1.2186039365905454]",-0.059324389851090974,0.00683371298405467,0.8206370874798108,0.25968109339407747,0.6028853454821564,0.3312820512820513,0.0774487471526196,"[-0.004441102385442486, -0.14541843860115544, -0.028113628566674986]",-0.022779043280182237,-0.611227553228449
value,36,762,sem_s0_value,0.03444627133678654,0.026143790849673203,0.8287102092455155,0.30501089324618735,0.579520697167756,0.3521594684385382,0.0457516339869281,"[0.0455122273895352, -0.005422526431769326, 0.06324911305259373]",-0.012420209452885725,0.0,0.8109759360486906,0.28104575163398693,0.6470588235294118,0.3944954128440367,0.0457516339869281,"[-0.0009510494885478504, -0.012911667439720054, -0.023397911430389273]",0.0,0.04686648078967226,-0.056359235788484195,0.007874015748031496,0.8557594053492875,0.2545931758530184,0.5065616797900262,0.3226256983240223,0.03412073490813648,"[-0.04515287504994481, -0.0861605452411538, -0.037764287074353975]",-0.030869429845980994,0.030183727034120734,0.8236254338804088,0.268591426071741,0.6023622047244095,0.3639220615964802,0.08530183727034121,"[-0.030914169821652182, -0.04999904776234709, -0.011695071953943703]",-0.05118110236220473,-0.0254898059425032,-0.6498369900969212,0.01366742596810934,1.0036674309338054,0.23614274867122248,0.6340167046317388,0.25067628494138866,0.05466970387243736,"[-0.4022494542748434, -0.32753740816835797, -1.2197241078475622]",-0.06121041286213491,0.009111617312072893,0.8211304370480771,0.2619589977220957,0.6051632498101747,0.3333333333333333,0.0774487471526196,"[-0.004262725770550313, -0.15092541015056793, -0.02844310266528649]",-0.022779043280182237,-0.5886265772347863
