position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/axis_acc,random/task/sign_acc,random/task/nonzero_axis_acc,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/axis_acc,random/control/sign_acc,random/control/nonzero_axis_acc,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/axis_acc,cross_lexeme/task/sign_acc,cross_lexeme/task/nonzero_axis_acc,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/axis_acc,cross_lexeme/control/sign_acc,cross_lexeme/control/nonzero_axis_acc,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/axis_acc,lattice_holdout/task/sign_acc,lattice_holdout/task/nonzero_axis_acc,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/axis_acc,lattice_holdout/control/sign_acc,lattice_holdout/control/nonzero_axis_acc,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
unit,0,3429,main_s0_unit,0.32442416087097753,0.16326530612244897,0.8280687160460519,0.46598639455782315,0.5898931000971818,0.3887147335423197,0.17055393586005832,"[0.3893952710267403, 0.2520811401258699, 0.3317960714603223]",0.12031463770434887,0.10495626822157435,1.0890233166180043,0.293488824101069,0.33770651117589895,0.14443084455324356,0.10932944606413994,"[0.137972678273231, 0.11419377562700339, 0.10877745921281223]",0.06122448979591838,0.20410952316662867,0.19295042522947245,0.039078448527267426,0.9625030922059478,0.3695926898026636,0.49965976475162827,0.27677100494233936,0.05657626130067075,"[0.20387431792783517, 0.1759803725631358, 0.19899658519744634]",-0.08472305041135253,0.0008748906386701663,1.272950756294946,0.19510061242344706,0.2371925731505784,0.03305582761998041,0.007874015748031496,"[-0.08607156261021776, -0.08535686873984671, -0.08274071988399312]",0.04870224555263925,0.277673475640825,0.19593581497665571,0.03190060443250504,1.0461904713043784,0.3287441235728677,0.47414372061786436,0.2708333333333333,0.03190060443250504,"[0.2104161248983457, 0.18147648519754245, 0.195914834834079]",-0.04321280871930444,0.0010073875083948958,1.2589870910272307,0.20125363778822475,0.22621446160734274,0.027695768311542246,0.011417058428475487,"[-0.049661849904139466, -0.053879561314449154, -0.026097014939324703]",0.020483546004029553,0.23914862369596016
unit,4,3429,main_s0_unit,0.7240071522973864,0.32653061224489793,0.5293375681977144,0.6098153547133139,0.793002915451895,0.5962382445141066,0.336734693877551,"[0.7259493904495982, 0.6774734573876746, 0.7685986090548865]",0.2924346565452211,0.052478134110787174,0.9779046171293228,0.31681243926141883,0.4878522837706511,0.19155446756425948,0.0597667638483965,"[0.2964196961492558, 0.28951440713576104, 0.29136986635064643]",0.2769679300291545,0.43157249575216533,0.39616712181513664,0.12190142898804317,0.8162379311159568,0.41518421308447556,0.6367259648099544,0.4060321885692561,0.131525226013415,"[0.32243627673950226, 0.405745876967853, 0.4603192117380547]",-0.15797058888912127,0.006415864683581219,1.3070090485068044,0.20054437639739478,0.27121609798775154,0.07737512242899118,0.01079031787693205,"[-0.16706571956740612, -0.14217862773884016, -0.1646674193611175]",0.12073490813648294,0.5541377107042579,0.38411550034575254,0.09805238415043653,0.882143547341481,0.3772106559211999,0.6256995746586076,0.37459677419354837,0.1061114842175957,"[0.3189100498986569, 0.39383998725444136, 0.4395964638841594]",-0.1782559113687686,0.007387508394895903,1.326408675164124,0.1975598835907768,0.26617416610700695,0.07647968508364966,0.01208865010073875,"[-0.174945466698325, -0.16498659123274884, -0.1948356761752319]",0.09402283411685694,0.5623714117145211
unit,8,3429,main_s0_unit,0.7337432128849022,0.3498542274052478,0.5042740432554593,0.6375121477162293,0.814382896015549,0.6144200626959248,0.3717201166180758,"[0.739876409238039, 0.6750126964903849, 0.7863405329262825]",0.33637211294644337,0.04956268221574344,0.9412126579648653,0.3275024295432459,0.5029154518950437,0.21664626682986537,0.056851311953352766,"[0.3269137962747165, 0.3154114512301809, 0.3667910913344328]",0.31486880466472306,0.3973710999384588,0.394645425216216,0.09973753280839895,0.811665852690396,0.41800330514241274,0.6324487216875668,0.4236471930046889,0.110527850685331,"[0.3211773380249051, 0.3964998123873409, 0.466259125236402]",-0.16159136865883958,0.0032079323417906094,1.3054745599203434,0.2039467288811121,0.28132594536794014,0.08741429970617041,0.004374453193350831,"[-0.17483232149969496, -0.15367647215610503, -0.15626531232071872]",0.10615339749198016,0.5562367938750555,0.3709574181022792,0.07488247145735392,0.8856434590175485,0.37541974479516454,0.628609805238415,0.3790322580645161,0.07891202149093351,"[0.3240094593761502, 0.33004094964757846, 0.4588218452831091]",-0.16501880343339104,0.0023505708529214238,1.3170753578259657,0.19778374748153124,0.27266621893888515,0.081119077744974,0.005036937541974479,"[-0.181540531007087, -0.17375535438425027, -0.13976052490883584]",0.07387508394895903,0.5359762215356703
unit,12,3429,main_s0_unit,0.7651014311757294,0.3323615160349854,0.49404689535657914,0.6360544217687075,0.8241010689990281,0.625705329153605,0.34839650145772594,"[0.7708625308832353, 0.7078765862152177, 0.8165651764287353]",0.28354671988529345,0.04518950437317784,0.9928411578246373,0.29931972789115646,0.47667638483965014,0.19583843329253367,0.05102040816326531,"[0.27262784551849306, 0.26275546287564633, 0.31525685126174097]",0.29737609329446063,0.4815547112904359,0.5840459200126548,0.13065033537474482,0.6865766579512504,0.4620394672888111,0.6986487800136094,0.4539348625015841,0.14202391367745698,"[0.5417657393255504, 0.5652101511461216, 0.6451618695662924]",-0.19071080824308692,0.007290755322251386,1.3260202889031107,0.19636434334597064,0.27743754252940606,0.09059745347698335,0.008457276173811607,"[-0.25187310414066943, -0.17300746796938427, -0.14725185261920704]",0.13356663750364536,0.7747567282557417,0.5274906341639887,0.10308932169241102,0.7776670474396447,0.4162749048578464,0.687597940452205,0.41478494623655915,0.10879785090664876,"[0.4674820802992048, 0.5175523409279597, 0.5974374812648016]",-0.1642514472498935,0.004365345869711216,1.3172017242436178,0.2006939780613387,0.2764719050817103,0.08772669759595107,0.005372733378106112,"[-0.22786565867620268, -0.15250447511872212, -0.11238420795475568]",0.10342511752854265,0.6917420814138822
unit,16,3429,main_s0_unit,0.7835874199721662,0.32653061224489793,0.4739416879090409,0.6399416909620991,0.827016520894072,0.6213166144200627,0.3396501457725947,"[0.7975736438379599, 0.7247440138869113, 0.8284446021916276]",0.2589539283844084,0.033527696793002916,1.0219765751601348,0.2784256559766764,0.4489795918367347,0.17380660954712362,0.03935860058309038,"[0.27691110327446433, 0.2723816533107548, 0.22756902856800598]",0.30029154518950435,0.5246334915877577,0.6276779964255702,0.1484397783610382,0.6503610311859526,0.48595314474579565,0.7169242733547195,0.47826637941959194,0.1615631379410907,"[0.5833127079842173, 0.6192311658894756, 0.6804901154030178]",-0.2250244798507055,0.007290755322251386,1.345588105979409,0.19743365412656752,0.27422961018761544,0.0901077375122429,0.009332166812481774,"[-0.2268662066908813, -0.2284103757186502, -0.219796857142585]",0.15223097112860892,0.8527024762762757,0.556497937591156,0.10577568838146408,0.7541867147077009,0.43138571748376986,0.6896127154689948,0.4264784946236559,0.11215580926796508,"[0.49068680968609457, 0.5794618581287202, 0.5993451449586532]",-0.1943271726578691,0.0063801208865010076,1.3341665164648737,0.20035818222520707,0.27389747033803447,0.08519611978068325,0.009402283411685695,"[-0.1777610603753399, -0.2098778580959424, -0.19534259950232502]",0.10275352585627938,0.7508251102490251
unit,20,3429,main_s0_unit,0.8011847277778191,0.2944606413994169,0.4676151045311181,0.6277939747327502,0.8177842565597667,0.6112852664576802,0.3177842565597668,"[0.8085653987886802, 0.7527197357270652, 0.842269048817712]",0.23851044571174493,0.014577259475218658,1.0318901426610478,0.27453838678328474,0.45626822157434405,0.17319461444308445,0.01749271137026239,"[0.2368788364231953, 0.24250011466512, 0.23615238604691946]",0.3002915451895044,0.5626742820660742,0.649916347516516,0.1484397783610382,0.6293384241650181,0.4944104209196073,0.717896374064353,0.4915726777341275,0.16068824730242054,"[0.6138779484112614, 0.6085297494202279, 0.7273413447180586]",-0.21862470001761483,0.00758238553514144,1.3417612654730515,0.1996694857587246,0.2805482648002333,0.09463761018609207,0.010498687664041995,"[-0.24556475315655746, -0.2225591630130337, -0.18775018388325337]",0.15018955963837854,0.8685410475341308,0.5774973777057123,0.10241773002014776,0.7345233799229606,0.4339601522274457,0.6883814640698456,0.42983870967741933,0.1091336467427804,"[0.5243480464134411, 0.5704435546759256, 0.6377005320277702]",-0.19131698199363786,0.005708529214237743,1.336558622930208,0.19252294604880232,0.2740094022834117,0.08969492478560383,0.008059100067159167,"[-0.21479639759145597, -0.20400334791578278, -0.1551512004736748]",0.10107454667562123,0.7688143596993502
unit,24,3429,main_s0_unit,0.7737956521160984,0.3075801749271137,0.4913208057960917,0.6141885325558795,0.8061224489795918,0.6006269592476489,0.33527696793002915,"[0.765375534102879, 0.7380459186548866, 0.8179655035905296]",0.2197384524297615,0.030612244897959183,1.0535675992128468,0.2696793002915452,0.44169096209912534,0.16279069767441862,0.03644314868804665,"[0.22170727491185704, 0.21172555644612878, 0.22578252593129866]",0.2988338192419825,0.5540571996863368,0.6291943911737362,0.1484397783610382,0.6470480888446044,0.48653640517157576,0.7105084086711383,0.47902673932327966,0.1647710702828813,"[0.5557316618086602, 0.629357635925107, 0.7024938757874417]",-0.19051726908640187,0.00699912510936133,1.327024647576686,0.200058326042578,0.282395256148537,0.08925073457394711,0.008748906386701663,"[-0.20261384710137742, -0.17184046047587032, -0.1970974996819579]",0.15602216389617962,0.8197116602601381,0.5341967320330827,0.09939556749496306,0.7775813847315713,0.41213342287888965,0.6674501902843072,0.4064516129032258,0.10846205507051712,"[0.44326640934371664, 0.5545456704917864, 0.6047781162637451]",-0.15510111313561703,0.0047011417058428475,1.3152420379293421,0.1995746586075666,0.2802775912245355,0.08828904822156615,0.005708529214237743,"[-0.17186960882273872, -0.156422489742585, -0.13701124084152738]",0.10275352585627938,0.6892978451686997
unit,28,3429,main_s0_unit,0.7494334114526836,0.26676384839650147,0.519211769404489,0.6034985422740525,0.7973760932944607,0.5824451410658307,0.2915451895043732,"[0.7312152867350978, 0.7267419873013334, 0.7903429603216193]",0.22112678599680644,0.02478134110787172,1.0504888634606282,0.272108843537415,0.4402332361516035,0.16340269277845776,0.033527696793002916,"[0.22715183263212813, 0.21199708992196487, 0.2242314354363263]",0.25801749271137026,0.5283066254558771,0.5716705889816757,0.12656751239428404,0.6941977122129879,0.4561096529600467,0.6908719743365412,0.4445570903561019,0.13823272090988625,"[0.4908966991898287, 0.6066346485949071, 0.6174804191602914]",-0.18032762344480693,0.0058326042578011085,1.320242604359465,0.20103042675221153,0.2827840964323904,0.089128305582762,0.007874015748031496,"[-0.20069734838156705, -0.17296009738454354, -0.16732542456831023]",0.13035870516185477,0.7519982124264826,0.4925858738421312,0.1051040967092008,0.8047465928918814,0.40676068950078353,0.6565927915827177,0.4004032258064516,0.10846205507051712,"[0.3891992164403839, 0.5597610429702675, 0.5287973621157422]",-0.151084921364027,0.006044325050369375,1.3159979724625517,0.1953212446832326,0.2678531452876651,0.08379024321664558,0.008059100067159167,"[-0.1677899383760597, -0.1602018883295917, -0.12526293738642957]",0.10040295500335795,0.6436707952061582
unit,32,3429,main_s0_unit,0.7279089915055007,0.24198250728862974,0.5402161828681203,0.5835762876579204,0.783284742468416,0.5755485893416928,0.2565597667638484,"[0.7269312740593992, 0.7012666318909173, 0.7555290685661855]",0.21497480772267852,0.026239067055393587,1.0538356518182828,0.26676384839650147,0.4329446064139942,0.15177478580171358,0.03498542274052478,"[0.19256167114399758, 0.1889129256716876, 0.26344982635235037]",0.2215743440233236,0.5129341837828222,0.5386403919774537,0.11927675707203267,0.7180527740513849,0.4447360746573345,0.6791095557499757,0.43809403117475604,0.1294838145231846,"[0.47393110691170093, 0.5618095646972423, 0.5801805043234178]",-0.1620395447356202,0.004666083406240887,1.314756563502603,0.20073879653932147,0.27500729075532226,0.08741429970617041,0.006124234470691163,"[-0.18960063289332507, -0.17201435687434374, -0.12450364443919182]",0.12335958005249345,0.7006799367130739,0.49462809508071653,0.09771658831430491,0.7984259485692213,0.41325274233266174,0.6733825833892993,0.4006720430107527,0.10308932169241102,"[0.41804419978350393, 0.5439792947664255, 0.5218607906922201]",-0.1454163293651428,0.004029550033579583,1.313375678927403,0.19599283635549586,0.2710991717036042,0.079291438211725,0.0063801208865010076,"[-0.17373621267510808, -0.17212959956046392, -0.09038317585985634]",0.09670920080591,0.6400444244458593
unit,36,3429,main_s0_unit,0.697004865147331,0.23323615160349853,0.5738133590711884,0.5617103984450923,0.783284742468416,0.535423197492163,0.26239067055393583,"[0.6948270198111377, 0.6681799474650281, 0.7280076281658274]",0.1972362380222985,0.02478134110787172,1.0650930586062821,0.27113702623906705,0.4217687074829932,0.15238678090575275,0.029154518950437316,"[0.18354073521178627, 0.18025644985675693, 0.22791152899835232]",0.23323615160349853,0.49976862712503245,0.5255831858255077,0.11548556430446194,0.7285132620100135,0.4409448818897638,0.6880528822786041,0.4316309719934102,0.12860892388451445,"[0.4879713708551957, 0.5374666025186353, 0.5513115841026921]",-0.1589364143492368,0.004374453193350831,1.3137618690284438,0.1976280742684942,0.2716049382716049,0.08190499510284036,0.007290755322251386,"[-0.19299473990922333, -0.15751789436282282, -0.1262966087756643]",0.12131816856226306,0.6845196001747444,0.47054020581903816,0.07891202149093351,0.8266230504496975,0.38314304902619206,0.659950749944034,0.3751344086021505,0.0849563465413029,"[0.4253396226119285, 0.5324877388207221, 0.45379325602446396]",-0.15435051205962025,0.004029550033579583,1.316361276849017,0.1930826057756884,0.2629281396910678,0.07141852945311401,0.006044325050369375,"[-0.18391156068219927, -0.1806772586935197, -0.09846271680314178]",0.07891202149093351,0.6248907178786585
