model,layer,pos,var,mode,rank,train_acc,base_acc,base_yes,all,disagree,same_dim_swap,heldout_lex,invented_alg,other_labels(y_heur),all_alpha0.25,all_alpha0.5,all_alpha0.75,other_labels(y_alg)
qwen3-4b-base,4,last,alg,learned,16,0.4875,0.6883333333333334,0.23166666666666666,0.499,0.491,0.481,0.505,0.501,0.506,0.497,0.501,0.497,
qwen3-4b-base,4,last,alg,random,16,,0.6883333333333334,0.23166666666666666,0.503,0.504,0.513,0.51,0.503,0.507,0.506,0.501,0.497,
qwen3-4b-base,4,last,heur,learned,16,0.721875,0.6883333333333334,0.23166666666666666,0.512,0.509,0.505,0.517,0.502,,0.508,0.504,0.507,0.501
qwen3-4b-base,4,last,alg,learned,64,0.5,0.6883333333333334,0.23166666666666666,0.498,0.493,0.475,0.505,0.502,0.504,0.497,0.504,0.501,
qwen3-4b-base,4,last,alg,random,64,,0.6883333333333334,0.23166666666666666,0.498,0.489,0.481,0.505,0.5,0.507,0.497,0.501,0.501,
qwen3-4b-base,4,last,heur,learned,64,0.70625,0.6883333333333334,0.23166666666666666,0.513,0.52,0.505,0.513,0.503,,0.503,0.507,0.511,0.504
qwen3-4b-base,4,last,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.5,0.489,0.493,0.499,0.5,0.507,0.5,0.5,0.497,
qwen3-4b-base,4,last,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.507,0.511,0.521,0.509,0.5,,0.511,0.504,0.508,0.5
qwen3-4b-base,4,u1,alg,learned,1,0.490625,0.6883333333333334,0.23166666666666666,0.501,0.491,0.507,0.507,0.502,0.509,0.498,0.499,0.495,
qwen3-4b-base,4,u1,alg,random,1,,0.6883333333333334,0.23166666666666666,0.503,0.506,0.506,0.51,0.504,0.506,0.5,0.504,0.495,
qwen3-4b-base,4,u1,heur,learned,1,0.715625,0.6883333333333334,0.23166666666666666,0.514,0.509,0.513,0.515,0.501,,0.508,0.508,0.511,0.503
qwen3-4b-base,4,u1,alg,probe,3,,0.6883333333333334,0.23166666666666666,0.499,0.476,0.497,0.499,0.498,0.508,0.5,0.493,0.499,
qwen3-4b-base,4,u1,heur,probe,3,,0.6883333333333334,0.23166666666666666,0.508,0.524,0.509,0.517,0.498,,0.504,0.499,0.509,0.499
qwen3-4b-base,4,u1,alg,learned,4,0.490625,0.6883333333333334,0.23166666666666666,0.508,0.471,0.488,0.512,0.5,0.527,0.5,0.5,0.5,
qwen3-4b-base,4,u1,alg,random,4,,0.6883333333333334,0.23166666666666666,0.502,0.506,0.513,0.505,0.498,0.503,0.499,0.5,0.505,
qwen3-4b-base,4,u1,heur,learned,4,0.721875,0.6883333333333334,0.23166666666666666,0.525,0.564,0.538,0.535,0.501,,0.506,0.511,0.517,0.497
qwen3-4b-base,4,u1,alg,learned,16,0.5125,0.6883333333333334,0.23166666666666666,0.527,0.449,0.501,0.528,0.493,0.566,0.505,0.514,0.514,
qwen3-4b-base,4,u1,alg,probe,16,,0.6883333333333334,0.23166666666666666,0.525,0.48,0.515,0.54,0.497,0.551,0.502,0.507,0.52,
qwen3-4b-base,4,u1,alg,random,16,,0.6883333333333334,0.23166666666666666,0.497,0.491,0.503,0.491,0.501,0.503,0.499,0.498,0.495,
qwen3-4b-base,4,u1,heur,learned,16,0.728125,0.6883333333333334,0.23166666666666666,0.58,0.538,0.545,0.58,0.496,,0.512,0.528,0.56,0.532
qwen3-4b-base,4,u1,heur,probe,16,,0.6883333333333334,0.23166666666666666,0.551,0.52,0.526,0.556,0.497,,0.51,0.519,0.546,0.525
qwen3-4b-base,4,u1,alg,learned,64,0.553125,0.6883333333333334,0.23166666666666666,0.575,0.444,0.49,0.559,0.497,0.639,0.506,0.518,0.541,
qwen3-4b-base,4,u1,alg,random,64,,0.6883333333333334,0.23166666666666666,0.501,0.463,0.501,0.505,0.499,0.514,0.502,0.503,0.503,
qwen3-4b-base,4,u1,heur,learned,64,0.740625,0.6883333333333334,0.23166666666666666,0.61,0.582,0.532,0.612,0.505,,0.521,0.531,0.568,0.556
qwen3-4b-base,4,u1,alg,learned,128,0.6,0.6883333333333334,0.23166666666666666,0.632,0.448,0.499,0.614,0.501,0.718,0.506,0.541,0.592,
qwen3-4b-base,4,u1,alg,random,128,,0.6883333333333334,0.23166666666666666,0.497,0.504,0.49,0.505,0.501,0.504,0.502,0.495,0.502,
qwen3-4b-base,4,u1,heur,learned,128,0.784375,0.6883333333333334,0.23166666666666666,0.695,0.632,0.593,0.676,0.497,,0.531,0.568,0.616,0.594
